Frequency (CM-1),Wavelength (Mm),Solar Irradiance (W CM-2 CM-1),Solar Irradiance (W M-2  uM-1)
50000.0,0.2,2.268e-09,5.67
49999.0,0.2000040000800016,2.268e-09,5.669773202268
49998.0,0.2000080003200128,2.268e-09,5.669546409072
49997.0,0.20001200072004321,2.268e-09,5.669319620412
49996.0,0.2000160012801024,1.825e-09,4.5617700292
49995.0,0.2000200020002,1.594e-09,3.98420303985
49994.0,0.20002400288034564,1.264e-09,3.1592416455039998
49993.0,0.20002800392054887,1.109e-09,2.771723754341
49992.0,0.20003200512081934,1.19e-09,2.97404807616
49991.0,0.20003600648116662,1.125e-09,2.8114875911249997
49990.0,0.20004000800160032,1.102e-09,2.7538981101999997
49989.0,0.20004400968213007,1.315e-09,3.286053659115
49988.0,0.20004801152276547,1.558e-09,3.893130624352
49987.0,0.20005201352351612,1.559e-09,3.895473563471
49986.0,0.20005601568439163,1.507e-09,3.7653904953720003
49985.0,0.20006001800540163,1.343e-09,3.355485802175
49984.0,0.2000640204865557,1.322e-09,3.302885138432
49983.0,0.20006802312786348,1.299e-09,3.2452920754109997
49982.0,0.20007202592933457,1.599e-09,3.994622318076
49981.0,0.20007602889097859,2.004e-09,5.0061931234440005
49980.0,0.2000800320128051,2.318e-09,5.7903649272
49979.0,0.20008403529482383,2.357e-09,5.8875513394370005
49978.0,0.2000880387370443,2.447e-09,6.1121177843479995
49977.0,0.20009204233947617,2.197e-09,5.487448062213001
49976.0,0.20009604610212903,1.846e-09,4.610570663296
49975.0,0.2001000500250125,1.76e-09,4.3956010999999995
49974.0,0.20010405410813623,1.711e-09,4.273052556636
49973.0,0.20010805835150983,1.568e-09,3.915767543072
49972.0,0.20011206275514287,1.791e-09,4.472486604144
49971.0,0.20011606731904505,1.938e-09,4.839381429858
49970.0,0.20012007204322593,1.828e-09,4.5645176452000005
49969.0,0.20012407692769518,1.722e-09,4.299663454842
49968.0,0.20012808197246237,1.691e-09,4.2220905315840005
49967.0,0.20013208717753717,1.514e-09,3.780005448746
49966.0,0.2001360925429292,1.372e-09,3.425336786032
49965.0,0.20014009806864805,1.396e-09,3.4851157100999997
49964.0,0.20014410375470337,1.637e-09,4.086608921552
49963.0,0.20014810960110482,2.051e-09,5.1199141078190005
49962.0,0.20015211560786197,2.411e-09,6.018341681484
49961.0,0.20015612177498449,2.947e-09,7.356011182386999
49960.0,0.200160128102482,3.129e-09,7.8099890063999995
49959.0,0.2001641345903641,3.253e-09,8.119168168293
49958.0,0.20016814123864046,3.263e-09,8.143801155932
49957.0,0.2001721480473207,3.418e-09,8.530308919882
49956.0,0.20017615501641445,3.512e-09,8.764553999232
49955.0,0.20018016214593135,3.653e-09,9.116068897325
49954.0,0.20018416943588102,3.661e-09,9.135667146676
49953.0,0.2001881768862731,3.54e-09,8.83336981986
49952.0,0.20019218449711723,3.157e-09,7.877353673728001
49951.0,0.20019619226842306,2.839e-09,7.0835957164389995
49950.0,0.2002002002002002,2.851e-09,7.1132521275
49949.0,0.2002042082924583,2.779e-09,6.933334328179
49948.0,0.200208216545207,2.94e-09,7.33471994976
49947.0,0.20021222495845598,3.347e-09,8.349770301723
49946.0,0.2002162335322148,3.736e-09,9.319836494176
49945.0,0.20022024226649315,3.782e-09,9.43421044055
49944.0,0.20022425116130066,3.507e-09,8.747871797952
49943.0,0.20022826021664697,3.078e-09,7.677465400422
49942.0,0.20023226943254174,2.674e-09,6.669499795336
49941.0,0.2002362788089946,2.317e-09,5.778837765477
49940.0,0.2002402883460152,1.864e-09,4.6488227104
49939.0,0.2002442980436132,2.185e-09,5.449179630384999
49938.0,0.20024830790179823,2.516e-09,6.274410471504
49937.0,0.20025231792057993,2.524e-09,6.294108817756
49936.0,0.20025632809996796,2.589e-09,6.455941004544
49935.0,0.20026033843997196,2.828e-09,7.0516299483000004
49934.0,0.2002643489406016,2.846e-09,7.096228797176
49933.0,0.2002683596018665,2.822e-09,7.036105267958
49932.0,0.20027237042377632,2.919e-09,7.277664297456
49931.0,0.20027638140634074,2.988e-09,7.4493970258680005
49930.0,0.2002803925495694,3.271e-09,8.1546190279
49929.0,0.20028440385347193,3.373e-09,8.408568703293
49928.0,0.200288415318058,3.179e-09,7.924627679936
49927.0,0.20029242694333727,2.88e-09,7.17899134752
49926.0,0.2002964387293194,2.487e-09,6.199109818812
49925.0,0.200300450676014,2.088e-09,5.204351744999999
49924.0,0.2003044627834308,1.72e-09,4.28693793472
49923.0,0.20030847505157942,1.83e-09,4.56091985007
49922.0,0.20031248748046954,2.164e-09,5.393133965776
49921.0,0.2003165000701108,2.463e-09,6.138057671583
49920.0,0.20032051282051283,2.393e-09,5.9633713152
49919.0,0.20032452573168533,2.059e-09,5.130835609099
49918.0,0.20032853880363796,1.563e-09,3.894693909612
49917.0,0.2003325520363804,1.294e-09,3.224268714366
49916.0,0.20033656542992226,1.316e-09,3.278954885696
49915.0,0.20034057898427327,1.542e-09,3.84190414095
49914.0,0.20034459269944305,1.857e-09,4.626543534372
49913.0,0.20034860657544126,2.124e-09,5.291537276556
49912.0,0.2003526206122776,2.087e-09,5.199150561728
49911.0,0.20035663480996174,1.691e-09,4.212463494411
49910.0,0.2003606491685033,1.438e-09,3.5820696478
49909.0,0.200364663687912,1.482e-09,3.691526072442
49908.0,0.2003686783681975,1.731e-09,4.311589451184
49907.0,0.20037269320936943,1.948e-09,4.851900448252
49906.0,0.2003767082114375,1.952e-09,4.861668447872
49905.0,0.20038072337441137,1.728e-09,4.3035995952
49904.0,0.20038473869830073,1.66e-09,4.134079298560001
49903.0,0.20038875418311525,1.6e-09,3.9844950544
49902.0,0.2003927698288646,1.613e-09,4.016708091252
49901.0,0.2003967856355584,1.859e-09,4.6291141200590005
49900.0,0.20040080160320642,2.247e-09,5.595052470000001
49899.0,0.20040481773181829,2.331e-09,5.8039806785309995
49898.0,0.20040883402140366,2.153e-09,5.360561799811999
49897.0,0.20041285047197227,2.172e-09,5.407651442748
49896.0,0.20041686708353376,2.272e-09,5.656395773952
49895.0,0.2004208838560978,2.522e-09,6.27854680505
49894.0,0.20042490078967412,2.831e-09,7.047523209115999
49893.0,0.20042891788427233,3.195e-09,7.953350079554999
49892.0,0.20043293513990218,3.286e-09,8.179549527904
49891.0,0.20043695255657332,3.102e-09,7.721225054862
49890.0,0.20044097013429546,2.449e-09,6.0955906329000005
49889.0,0.20044498787307824,1.765e-09,4.392930246565
49888.0,0.20044900577293137,1.257e-09,3.128437367808
49887.0,0.20045302383386454,9.424e-10,2.3453629135055998
49886.0,0.20045704205588744,7.95e-10,1.9784473318200002
49885.0,0.20046106043900971,9.324e-10,2.32028973099
49884.0,0.20046507898324112,1.016e-09,2.528228071296
49883.0,0.2004690976885913,1.023e-09,2.5455449038470004
49882.0,0.20047311655506997,1.148e-09,2.856469584752
49881.0,0.2004771355826868,1.51e-09,3.75705238311
49880.0,0.20048115477145148,1.762e-09,4.3838813727999995
49879.0,0.20048517412137373,1.996e-09,4.9658776234360005
49878.0,0.2004891936324632,2.204e-09,5.483144004335999
49877.0,0.20049321330472963,2.126e-09,5.2888823642539995
49876.0,0.20049723313818268,2.213e-09,5.505092827088
49875.0,0.20050125313283207,2.557e-09,6.360577453125001
49874.0,0.2005052732886875,2.964e-09,7.3727006564640005
49873.0,0.20050929360575862,3.312e-09,8.237991019248
49872.0,0.20051331408405518,3.681e-09,9.155443509504
49871.0,0.20051733472358685,3.75e-09,9.326687403749998
49870.0,0.20052135552436334,3.513e-09,8.736890369700001
49869.0,0.20052537648639435,3.161e-09,7.861145145921
49868.0,0.20052939760968957,3.054e-09,7.594740412896
49867.0,0.20053341889425874,2.99e-09,7.435285890109999
49866.0,0.2005374403401115,2.717e-09,6.756140986452
49865.0,0.20054146194725758,2.589e-09,6.437595684525
49864.0,0.2005454837157067,2.679e-09,6.661115150784
49863.0,0.20054950564546858,2.431e-09,6.044240927439
49862.0,0.20055352773655288,2.23e-09,5.54426846812
49861.0,0.20055754998896932,2.436e-09,6.056186665956
49860.0,0.20056157240272765,2.723e-09,6.7694313708
49859.0,0.2005655949778375,2.935e-09,7.2961748507349995
49858.0,0.20056961771430865,3.327e-09,8.270323685628
49857.0,0.20057364061215074,3.671e-09,9.125079768278999
49856.0,0.20057766367137356,3.629e-09,9.020317650944001
49855.0,0.20058168689198677,3.233e-09,8.035689473825
49854.0,0.20058571027400007,2.736e-09,6.800112720576
49853.0,0.20058973381742323,2.432e-09,6.044302153088
49852.0,0.2005937575222659,2.227e-09,5.534589180208
49851.0,0.20059778138853784,2.359e-09,5.862403272159
49850.0,0.20060180541624875,2.811e-09,6.9853982475
49849.0,0.20060582960540832,3.371e-09,8.376674762171
49848.0,0.20060985395602632,3.657e-09,9.086998091328
49847.0,0.20061387846811243,3.655e-09,9.081664059895
49846.0,0.20061790314167635,3.39e-09,8.422874397240001
49845.0,0.20062192797672784,3.279e-09,8.146754277974999
49844.0,0.20062595297327662,3.165e-09,7.8632030234400005
49843.0,0.20062997813133238,2.926e-09,7.269133922974
49842.0,0.20063400345090485,2.732e-09,6.786902601648
49841.0,0.20063802893200378,2.76e-09,6.85618577556
49840.0,0.20064205457463885,2.457e-09,6.1032508992
49839.0,0.2006460803788198,1.861e-09,4.622586138981
49838.0,0.20065010634455635,1.392e-09,3.457486131648
49837.0,0.20065413247185826,1.122e-09,2.786741210418
49836.0,0.2006581587607352,7.582e-10,1.8830859125472001
49835.0,0.20066218521119694,4.738e-10,1.1766951992049999
49834.0,0.2006662118232532,4.154e-10,1.0316158067624
49833.0,0.20067023859691369,4.462e-10,1.1080609040718001
49832.0,0.20067426553218815,3.873e-10,0.9617542911552
49831.0,0.20067829262908632,4.006e-10,0.9947413015366
49830.0,0.2006823198876179,5.628e-10,1.39744866492
49829.0,0.20068634730779264,6.227e-10,1.5461200383707001
49828.0,0.2006903748896203,7.354e-10,1.8258728760735998
49827.0,0.20069440263311056,8.502e-10,2.1108169856358
49826.0,0.2006984305382732,7.882e-10,1.9568091835432
49825.0,0.2007024586051179,6.249e-10,1.5513333875625
49824.0,0.20070648683365447,8.045e-10,1.997115720192
49823.0,0.20071051522389258,1.14e-09,2.82985771506
49822.0,0.200714543775842,1.59e-09,3.94674837756
49821.0,0.20071857248951244,2.12e-09,5.2621199269200005
49820.0,0.20072260136491368,2.539e-09,6.3018802636
49819.0,0.20072663040205543,2.46e-09,6.105554592060001
49818.0,0.20073065960094744,2.226e-09,5.524560534024
49817.0,0.20073468896159946,1.998e-09,4.958503511022
49816.0,0.2007387184840212,1.877e-09,4.658026747712
49815.0,0.20074274816822243,2.013e-09,4.995328394925
49814.0,0.20074677801421287,2.194e-09,5.444267503624
49813.0,0.2007508080220023,2.171e-09,5.386978217699
49812.0,0.20075483819160042,1.961e-09,4.8657025095840005
49811.0,0.200758868523017,1.648e-09,4.0889116682080004
49810.0,0.2007628990162618,1.461e-09,3.6247937421
49809.0,0.20076692967134455,1.669e-09,4.140682986789
49808.0,0.20077096048827497,1.772e-09,4.396042923008
49807.0,0.20077499146706287,1.775e-09,4.403308616975
49806.0,0.20077902260771793,1.953e-09,4.844685303108
49805.0,0.20078305391024998,1.812e-09,4.4947349013
49804.0,0.2007870853746687,1.677e-09,4.159695223632
49803.0,0.20079111700098387,2.002e-09,4.965638295618
49802.0,0.20079514878920526,2.433e-09,6.034421983332001
49801.0,0.20079918073934258,2.301e-09,5.706801221900999
49800.0,0.20080321285140562,2.239e-09,5.552809559999999
49799.0,0.20080724512540413,2.273e-09,5.636904531473
49798.0,0.20081127756134784,2.14e-09,5.30685932056
49797.0,0.20081531015924653,2.148e-09,5.326484116932
49796.0,0.20081934291910997,2.489e-09,6.171827982224
49795.0,0.2008233758409479,2.428e-09,6.0203280367
49794.0,0.20082740892477005,2.028e-09,5.028309260208
49793.0,0.20083144217058624,1.721e-09,4.266949043129
49792.0,0.20083547557840617,1.406e-09,3.485816029184
