PROFILE,WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,WATER
MLS,0.35,0.0060047,0.0098904,0.2
MLS,0.35,0.0060047,0.0098903,0.5
MLS,0.35,0.0060047,0.0098903,1.0
MLS,0.35,0.0060047,0.0098903,1.5
MLS,0.35,0.0060047,0.0098903,2.0
MLS,0.351,0.0058662,0.0098206,0.2
MLS,0.351,0.0058662,0.0098206,0.5
MLS,0.351,0.0058662,0.0098206,1.0
MLS,0.351,0.0058662,0.0098206,1.5
MLS,0.351,0.0058662,0.0098206,2.0
MLS,0.352,0.0060398,0.010291,0.2
MLS,0.352,0.0060398,0.010291,0.5
MLS,0.352,0.0060398,0.010291,1.0
MLS,0.352,0.0060398,0.010291,1.5
MLS,0.352,0.0060398,0.010291,2.0
MLS,0.353,0.0056031,0.0097226,0.2
MLS,0.353,0.0056031,0.0097226,0.5
MLS,0.353,0.0056031,0.0097226,1.0
MLS,0.353,0.0056031,0.0097226,1.5
MLS,0.353,0.0056031,0.0097226,2.0
MLS,0.354,0.0063486,0.011199,0.2
MLS,0.354,0.0063486,0.011199,0.5
MLS,0.354,0.0063486,0.011199,1.0
MLS,0.354,0.0063486,0.011199,1.5
MLS,0.354,0.0063486,0.011199,2.0
MLS,0.355,0.0064531,0.011573,0.2
MLS,0.355,0.0064531,0.011573,0.5
MLS,0.355,0.0064531,0.011573,1.0
MLS,0.355,0.0064531,0.011573,1.5
MLS,0.355,0.0064531,0.011573,2.0
MLS,0.356,0.0063188,0.011532,0.2
MLS,0.356,0.0063188,0.011532,0.5
MLS,0.356,0.0063188,0.011532,1.0
MLS,0.356,0.0063188,0.011532,1.5
MLS,0.356,0.0063188,0.011532,2.0
MLS,0.357,0.0043067,0.0079901,0.2
MLS,0.357,0.0043067,0.0079901,0.5
MLS,0.357,0.0043067,0.0079901,1.0
MLS,0.357,0.0043067,0.0079901,1.5
MLS,0.357,0.0043067,0.0079901,2.0
MLS,0.358,0.0046651,0.0087903,0.2
MLS,0.358,0.0046651,0.0087903,0.5
MLS,0.358,0.0046651,0.0087903,1.0
MLS,0.358,0.0046651,0.0087903,1.5
MLS,0.358,0.0046651,0.0087903,2.0
MLS,0.359,0.0044303,0.0085071,0.2
MLS,0.359,0.0044303,0.0085071,0.5
MLS,0.359,0.0044303,0.0085071,1.0
MLS,0.359,0.0044303,0.0085071,1.5
MLS,0.359,0.0044303,0.0085071,2.0
MLS,0.36,0.0062224,0.012121,0.2
MLS,0.36,0.0062224,0.012121,0.5
MLS,0.36,0.0062224,0.012121,1.0
MLS,0.36,0.0062224,0.012121,1.5
MLS,0.36,0.0062224,0.012121,2.0
