WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,PROFILE,INITIAL_H2O,FINAL_H2O
0.35,0.0060047,0.0098904,MLS,0.5,0.88814
0.351,0.0058662,0.0098206,MLS,0.5,0.88814
0.352,0.0060398,0.010291,MLS,0.5,0.88814
0.353,0.0056031,0.0097226,MLS,0.5,0.88814
0.354,0.0063486,0.011199,MLS,0.5,0.88814
0.355,0.0064531,0.011573,MLS,0.5,0.88814
0.356,0.0063188,0.011532,MLS,0.5,0.88814
0.357,0.0043067,0.00799,MLS,0.5,0.88814
0.358,0.0046651,0.0087903,MLS,0.5,0.88814
0.359,0.0044303,0.008507,MLS,0.5,0.88814
0.36,0.0062224,0.012121,MLS,0.5,0.88814
0.361,0.0048263,0.0095582,MLS,0.5,0.88814
0.362,0.0052753,0.010613,MLS,0.5,0.88814
0.363,0.0057273,0.011704,MLS,0.5,0.88814
0.364,0.0056806,0.011804,MLS,0.5,0.88814
0.365,0.0052055,0.010995,MLS,0.5,0.88814
0.366,0.0069265,0.014847,MLS,0.5,0.88814
0.367,0.0061971,0.013496,MLS,0.5,0.88814
0.368,0.0058059,0.012838,MLS,0.5,0.88814
0.369,0.0055796,0.012534,MLS,0.5,0.88814
0.37,0.0063587,0.014498,MLS,0.5,0.88814
0.371,0.0050307,0.011657,MLS,0.5,0.88814
0.372,0.0052483,0.012317,MLS,0.5,0.88814
0.373,0.0051986,0.012396,MLS,0.5,0.88814
0.374,0.0040263,0.0097608,MLS,0.5,0.88814
0.375,0.0036173,0.0088956,MLS,0.5,0.88814
0.376,0.0051728,0.012888,MLS,0.5,0.88814
0.377,0.0052412,0.013265,MLS,0.5,0.88814
0.378,0.006777,0.017398,MLS,0.5,0.88814
0.379,0.0051523,0.013408,MLS,0.5,0.88814
0.38,0.0047058,0.012438,MLS,0.5,0.88814
0.381,0.0053551,0.014342,MLS,0.5,0.88814
0.382,0.0039454,0.01072,MLS,0.5,0.88814
0.383,0.00271,0.0074688,MLS,0.5,0.88814
0.384,0.0029553,0.0082625,MLS,0.5,0.88814
0.385,0.0044178,0.012515,MLS,0.5,0.88814
0.386,0.0034117,0.0098015,MLS,0.5,0.88814
0.387,0.0038181,0.011109,MLS,0.5,0.88814
0.388,0.0037884,0.011177,MLS,0.5,0.88814
0.389,0.0042095,0.012601,MLS,0.5,0.88814
0.39,0.0051525,0.015621,MLS,0.5,0.88814
0.391,0.0056435,0.017351,MLS,0.5,0.88814
0.392,0.004959,0.015435,MLS,0.5,0.88814
0.393,0.002643,0.0083221,MLS,0.5,0.88814
0.394,0.0028549,0.0091427,MLS,0.5,0.88814
0.395,0.0048319,0.015655,MLS,0.5,0.88814
0.396,0.0048461,0.015891,MLS,0.5,0.88814
0.397,0.0019696,0.0065494,MLS,0.5,0.88814
0.398,0.0053599,0.018055,MLS,0.5,0.88814
0.399,0.0064225,0.021909,MLS,0.5,0.88814
0.4,0.0063073,0.021793,MLS,0.5,0.88814
0.401,0.0061378,0.021472,MLS,0.5,0.88814
0.402,0.0063796,0.022597,MLS,0.5,0.88814
0.403,0.0059831,0.021456,MLS,0.5,0.88814
0.404,0.0063018,0.022882,MLS,0.5,0.88814
0.405,0.0057506,0.021152,MLS,0.5,0.88814
0.406,0.0056539,0.02104,MLS,0.5,0.88814
0.407,0.0054272,0.020447,MLS,0.5,0.88814
0.408,0.0057947,0.022098,MLS,0.5,0.88814
0.409,0.0063,0.024319,MLS,0.5,0.88814
0.41,0.0052412,0.020461,MLS,0.5,0.88814
0.411,0.0060891,0.024072,MLS,0.5,0.88814
0.412,0.0062836,0.025131,MLS,0.5,0.88814
0.413,0.00577,0.02335,MLS,0.5,0.88814
0.414,0.0056596,0.023177,MLS,0.5,0.88814
0.415,0.0059402,0.024618,MLS,0.5,0.88814
0.416,0.0059181,0.024816,MLS,0.5,0.88814
0.417,0.0055822,0.023667,MLS,0.5,0.88814
0.418,0.0054708,0.023471,MLS,0.5,0.88814
0.419,0.0054961,0.023851,MLS,0.5,0.88814
0.42,0.0046045,0.020209,MLS,0.5,0.88814
0.421,0.0057284,0.025428,MLS,0.5,0.88814
0.422,0.0054244,0.024357,MLS,0.5,0.88814
0.423,0.0045499,0.020663,MLS,0.5,0.88814
