PROFILE,WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,WATER
MLW,0.35,0.0059741,0.009953,0.2
MLW,0.35,0.0059741,0.009953,0.5
MLW,0.35,0.0059741,0.009953,1.0
MLW,0.35,0.0059741,0.009953,1.5
MLW,0.35,0.0059741,0.009953,2.0
MLW,0.351,0.0058357,0.0098812,0.2
MLW,0.351,0.0058357,0.0098812,0.5
MLW,0.351,0.0058357,0.0098812,1.0
MLW,0.351,0.0058357,0.0098812,1.5
MLW,0.351,0.0058357,0.0098812,2.0
MLW,0.352,0.0060049,0.010347,0.2
MLW,0.352,0.0060049,0.010347,0.5
MLW,0.352,0.0060049,0.010347,1.0
MLW,0.352,0.0060049,0.010347,1.5
MLW,0.352,0.0060049,0.010347,2.0
MLW,0.353,0.0055733,0.0097801,0.2
MLW,0.353,0.0055733,0.0097801,0.5
MLW,0.353,0.0055733,0.0097801,1.0
MLW,0.353,0.0055733,0.0097801,1.5
MLW,0.353,0.0055733,0.0097801,2.0
MLW,0.354,0.006315,0.011265,0.2
MLW,0.354,0.006315,0.011265,0.5
MLW,0.354,0.006315,0.011265,1.0
MLW,0.354,0.006315,0.011265,1.5
MLW,0.354,0.006315,0.011265,2.0
MLW,0.355,0.0064184,0.011639,0.2
MLW,0.355,0.0064184,0.011639,0.5
MLW,0.355,0.0064184,0.011639,1.0
MLW,0.355,0.0064184,0.011639,1.5
MLW,0.355,0.0064184,0.011639,2.0
MLW,0.356,0.0062843,0.011596,0.2
MLW,0.356,0.0062843,0.011596,0.5
MLW,0.356,0.0062843,0.011596,1.0
MLW,0.356,0.0062843,0.011596,1.5
MLW,0.356,0.0062843,0.011596,2.0
MLW,0.357,0.0042832,0.0080341,0.2
MLW,0.357,0.0042832,0.0080341,0.5
MLW,0.357,0.0042832,0.0080341,1.0
MLW,0.357,0.0042832,0.0080341,1.5
MLW,0.357,0.0042832,0.0080341,2.0
MLW,0.358,0.0046395,0.0088381,0.2
MLW,0.358,0.0046395,0.0088381,0.5
MLW,0.358,0.0046395,0.0088381,1.0
MLW,0.358,0.0046395,0.0088381,1.5
MLW,0.358,0.0046395,0.0088381,2.0
MLW,0.359,0.0044058,0.0085524,0.2
MLW,0.359,0.0044058,0.0085524,0.5
MLW,0.359,0.0044058,0.0085524,1.0
MLW,0.359,0.0044058,0.0085524,1.5
MLW,0.359,0.0044058,0.0085524,2.0
MLW,0.36,0.0061879,0.012185,0.2
MLW,0.36,0.0061879,0.012185,0.5
MLW,0.36,0.0061879,0.012185,1.0
MLW,0.36,0.0061879,0.012185,1.5
