WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,PROFILE,INITIAL_H2O,FINAL_H2O
0.35,0.0059741,0.009953,MLW,0.25,0.13888
0.351,0.0058357,0.0098812,MLW,0.25,0.13888
0.352,0.0060049,0.010347,MLW,0.25,0.13888
0.353,0.0055733,0.0097801,MLW,0.25,0.13888
0.354,0.006315,0.011265,MLW,0.25,0.13888
0.355,0.0064184,0.011639,MLW,0.25,0.13888
0.356,0.0062843,0.011596,MLW,0.25,0.13888
0.357,0.0042832,0.0080341,MLW,0.25,0.13888
0.358,0.0046395,0.0088381,MLW,0.25,0.13888
0.359,0.0044058,0.0085524,MLW,0.25,0.13888
0.36,0.0061879,0.012185,MLW,0.25,0.13888
0.361,0.0047999,0.0096088,MLW,0.25,0.13888
0.362,0.0052465,0.010669,MLW,0.25,0.13888
0.363,0.0056962,0.011765,MLW,0.25,0.13888
0.364,0.0056496,0.011865,MLW,0.25,0.13888
0.365,0.0051775,0.011052,MLW,0.25,0.13888
0.366,0.0068891,0.014924,MLW,0.25,0.13888
0.367,0.0061636,0.013565,MLW,0.25,0.13888
0.368,0.0057746,0.012903,MLW,0.25,0.13888
0.369,0.0055494,0.012597,MLW,0.25,0.13888
0.37,0.0063242,0.01457,MLW,0.25,0.13888
0.371,0.0050034,0.011714,MLW,0.25,0.13888
0.372,0.0052202,0.012378,MLW,0.25,0.13888
0.373,0.0051705,0.012456,MLW,0.25,0.13888
0.374,0.0040044,0.0098072,MLW,0.25,0.13888
0.375,0.0035977,0.0089378,MLW,0.25,0.13888
0.376,0.0051452,0.01295,MLW,0.25,0.13888
0.377,0.0052128,0.013327,MLW,0.25,0.13888
0.378,0.0067399,0.017478,MLW,0.25,0.13888
0.379,0.0051243,0.01347,MLW,0.25,0.13888
0.38,0.0046806,0.012495,MLW,0.25,0.13888
0.381,0.0053261,0.014407,MLW,0.25,0.13888
0.382,0.003924,0.010768,MLW,0.25,0.13888
0.383,0.0026952,0.0075018,MLW,0.25,0.13888
0.384,0.0029394,0.008299,MLW,0.25,0.13888
0.385,0.0043939,0.01257,MLW,0.25,0.13888
0.386,0.0033931,0.0098438,MLW,0.25,0.13888
0.387,0.0037973,0.011157,MLW,0.25,0.13888
0.388,0.0037679,0.011224,MLW,0.25,0.13888
0.389,0.0041867,0.012655,MLW,0.25,0.13888
0.39,0.0051246,0.015687,MLW,0.25,0.13888
0.391,0.005613,0.017423,MLW,0.25,0.13888
0.392,0.0049323,0.0155,MLW,0.25,0.13888
0.393,0.0026286,0.0083561,MLW,0.25,0.13888
0.394,0.0028392,0.0091793,MLW,0.25,0.13888
0.395,0.0048057,0.015718,MLW,0.25,0.13888
0.396,0.0048198,0.015955,MLW,0.25,0.13888
0.397,0.0019588,0.0065751,MLW,0.25,0.13888
0.398,0.0053311,0.018127,MLW,0.25,0.13888
0.399,0.0063875,0.021994,MLW,0.25,0.13888
0.4,0.0062734,0.021879,MLW,0.25,0.13888
0.401,0.0061047,0.021555,MLW,0.25,0.13888
0.402,0.0063447,0.022682,MLW,0.25,0.13888
0.403,0.0059502,0.021535,MLW,0.25,0.13888
0.404,0.0062675,0.022968,MLW,0.25,0.13888
0.405,0.0057195,0.021232,MLW,0.25,0.13888
0.406,0.0056229,0.021117,MLW,0.25,0.13888
0.407,0.005397,0.020519,MLW,0.25,0.13888
0.408,0.0057633,0.022179,MLW,0.25,0.13888
0.409,0.0062659,0.024408,MLW,0.25,0.13888
0.41,0.0052128,0.020535,MLW,0.25,0.13888
0.411,0.0060558,0.024157,MLW,0.25,0.13888
0.412,0.0062488,0.025218,MLW,0.25,0.13888
0.413,0.005739,0.023433,MLW,0.25,0.13888
0.414,0.005629,0.023258,MLW,0.25,0.13888
0.415,0.0059076,0.024701,MLW,0.25,0.13888
0.416,0.0058851,0.024897,MLW,0.25,0.13888
0.417,0.0055512,0.023745,MLW,0.25,0.13888
0.418,0.0054406,0.023548,MLW,0.25,0.13888
0.419,0.0054658,0.023929,MLW,0.25,0.13888
0.42,0.0045793,0.020275,MLW,0.25,0.13888
0.421,0.0056971,0.025511,MLW,0.25,0.13888
0.422,0.0053947,0.024436,MLW,0.25,0.13888
0.423,0.0045249,0.020729,MLW,0.25,0.13888
0.424,0.0048654,0.02253,MLW,0.25,0.13888
0.425,0.0050031,0.023424,MLW,0.25,0.13888
0.426,0.0047779,0.022622,MLW,0.25,0.13888
0.427,0.0045431,0.021736,MLW,0.25,0.13888
