Wavelength	RSR
0.3000	0.000000
0.3013	0.000000
0.3025	0.000000
0.3038	0.000000
0.3051	0.000000
0.3064	0.000000
0.3076	0.000000
0.3089	0.000000
0.3102	0.000000
0.3114	0.000000
0.3127	0.000000
0.3140	0.000000
0.3152	0.000000
0.3165	0.000000
0.3178	0.000000
0.3191	0.000000
0.3203	0.000000
0.3216	0.000000
0.3229	0.000000
0.3241	0.000000
0.3254	0.000000
0.3267	0.000000
0.3279	0.000000
0.3292	0.000000
0.3305	0.000000
0.3318	0.000000
0.3330	0.000000
0.3343	0.000000
0.3356	0.000000
0.3368	0.000000
0.3381	0.000000
0.3394	0.000000
0.3406	0.000000
0.3419	0.000000
0.3432	0.000000
0.3445	0.000000
0.3457	0.000000
0.3470	0.000000
0.3483	0.000000
0.3495	0.000000
0.3508	0.000000
0.3521	0.000000
0.3533	0.000000
0.3546	0.000000
0.3559	0.000000
0.3572	0.000000
0.3584	0.000000
0.3597	0.000000
0.3610	0.000000
0.3622	0.000000
0.3635	0.000000
0.3648	0.000000
0.3660	0.000000
0.3673	0.000000
0.3686	0.000000
0.3699	0.000000
0.3711	0.000000
0.3724	0.000000
0.3737	0.000000
0.3749	0.000000
0.3762	0.000000
0.3775	0.000000
0.3787	0.000000
0.3800	0.000000
0.3813	0.000000
0.3826	0.000000
0.3838	0.000000
0.3851	0.000000
0.3864	0.000000
0.3876	0.000000
0.3889	0.000000
0.3902	0.000000
0.3914	0.000000
0.3927	0.000000
0.3940	0.000000
0.3953	0.000000
0.3965	0.000000
0.3978	0.000000
0.3991	0.000000
0.4003	0.000000
0.4016	0.000000
0.4029	0.000000
0.4042	0.000000
0.4054	0.000000
0.4067	0.000000
0.4080	0.000000
0.4092	0.000000
0.4105	0.000000
0.4118	0.000000
0.4130	0.000000
0.4143	0.000000
0.4156	0.000000
0.4169	0.000000
0.4181	0.000000
0.4194	0.000000
0.4207	0.000000
0.4219	0.000000
0.4232	0.000000
0.4245	0.000000
0.4257	0.000000
0.4270	0.000000
0.4283	0.000000
0.4296	0.000000
0.4308	0.000000
0.4321	0.000000
0.4334	0.000000
0.4346	0.000000
0.4359	0.000000
0.4372	0.000000
0.4384	0.000000
0.4397	0.000000
0.4410	0.000000
0.4423	0.000000
0.4435	0.000000
0.4448	0.000000
0.4461	0.000000
0.4473	0.000000
0.4486	0.000000
0.4499	0.000000
0.4511	0.000000
0.4524	0.000000
0.4537	0.000001
0.4550	0.000001
0.4562	0.000001
0.4575	0.000001
0.4588	0.000001
0.4600	0.000002
0.4613	0.000002
0.4626	0.000003
0.4638	0.000003
0.4651	0.000004
0.4664	0.000005
0.4677	0.000006
0.4689	0.000007
0.4702	0.000008
0.4715	0.000010
0.4727	0.000013
0.4740	0.000015
0.4753	0.000019
0.4765	0.000022
0.4778	0.000027
0.4791	0.000033
0.4804	0.000039
0.4816	0.000047
0.4829	0.000057
0.4842	0.000068
0.4854	0.000081
0.4867	0.000097
0.4880	0.000115
0.4892	0.000137
0.4905	0.000163
0.4918	0.000193
0.4931	0.000229
0.4943	0.000270
0.4956	0.000319
0.4969	0.000375
0.4981	0.000441
0.4994	0.000518
0.5007	0.000607
0.5020	0.000710
0.5032	0.000829
0.5045	0.000966
0.5058	0.001125
0.5070	0.001307
0.5083	0.001516
0.5096	0.001756
0.5108	0.002030
0.5121	0.002343
0.5134	0.002700
0.5147	0.003106
0.5159	0.003567
0.5172	0.004090
0.5185	0.004681
0.5197	0.005349
0.5210	0.006102
0.5223	0.006949
0.5235	0.007900
0.5248	0.008967
0.5261	0.010161
0.5274	0.011494
0.5286	0.012980
0.5299	0.014634
0.5312	0.016471
0.5324	0.018508
0.5337	0.020761
0.5350	0.023250
0.5362	0.025993
0.5375	0.029012
0.5388	0.032326
0.5401	0.035959
0.5413	0.039933
0.5426	0.044272
0.5439	0.049000
0.5451	0.054142
0.5464	0.059723
0.5477	0.065769
0.5489	0.072305
0.5502	0.079358
0.5515	0.086952
0.5528	0.095114
0.5540	0.103867
0.5553	0.113235
0.5566	0.123242
0.5578	0.133907
0.5591	0.145252
0.5604	0.157293
0.5616	0.170047
0.5629	0.183527
0.5642	0.197743
0.5655	0.212703
0.5667	0.228410
0.5680	0.244867
0.5693	0.262069
0.5705	0.280008
0.5718	0.298674
0.5731	0.318050
0.5743	0.338115
0.5756	0.358843
0.5769	0.380203
0.5782	0.402158
0.5794	0.424668
0.5807	0.447686
0.5820	0.471159
0.5832	0.495032
0.5845	0.519242
0.5858	0.543723
0.5870	0.568402
0.5883	0.593205
0.5896	0.618053
0.5909	0.642860
0.5921	0.667542
0.5934	0.692009
0.5947	0.716170
0.5959	0.739931
0.5972	0.763198
0.5985	0.785876
0.5997	0.807871
0.6010	0.829089
0.6023	0.849436
0.6036	0.868824
0.6048	0.887163
0.6061	0.904370
0.6074	0.920364
0.6086	0.935071
0.6099	0.948418
0.6112	0.960343
0.6125	0.970787
0.6137	0.979698
0.6150	0.987033
0.6163	0.992755
0.6175	0.996835
0.6188	0.999253
0.6201	0.999997
0.6213	0.999063
0.6226	0.996456
0.6239	0.992188
0.6252	0.986282
0.6264	0.978766
0.6277	0.969679
0.6290	0.959065
0.6302	0.946975
