# Wavelength (µm)	RSR
0.3000	0.000000
0.3013	0.000000
0.3025	0.000000
0.3038	0.000000
0.3051	0.000000
0.3064	0.000000
0.3076	0.000000
0.3089	0.000000
0.3102	0.000000
0.3114	0.000000
0.3127	0.000000
0.3140	0.000000
0.3152	0.000000
0.3165	0.000000
0.3178	0.000000
0.3191	0.000000
0.3203	0.000000
0.3216	0.000000
0.3229	0.000000
0.3241	0.000000
0.3254	0.000000
0.3267	0.000000
0.3279	0.000000
0.3292	0.000000
0.3305	0.000000
0.3318	0.000000
0.3330	0.000000
0.3343	0.000000
0.3356	0.000000
0.3368	0.000000
0.3381	0.000000
0.3394	0.000000
0.3406	0.000000
0.3419	0.000000
0.3432	0.000000
0.3445	0.000000
0.3457	0.000000
0.3470	0.000000
0.3483	0.000000
0.3495	0.000000
0.3508	0.000000
0.3521	0.000000
0.3533	0.000000
0.3546	0.000000
0.3559	0.000000
0.3572	0.000000
0.3584	0.000000
0.3597	0.000000
0.3610	0.000000
0.3622	0.000000
0.3635	0.000000
0.3648	0.000000
0.3660	0.000000
0.3673	0.000000
0.3686	0.000000
0.3699	0.000000
0.3711	0.000000
0.3724	0.000000
0.3737	0.000000
0.3749	0.000000
0.3762	0.000000
0.3775	0.000000
0.3787	0.000000
0.3800	0.000000
0.3813	0.000000
0.3826	0.000000
0.3838	0.000000
0.3851	0.000000
0.3864	0.000000
0.3876	0.000000
0.3889	0.000000
0.3902	0.000000
0.3914	0.000000
0.3927	0.000000
0.3940	0.000000
0.3953	0.000000
0.3965	0.000000
0.3978	0.000000
0.3991	0.000000
0.4003	0.000000
0.4016	0.000000
0.4029	0.000000
0.4042	0.000000
0.4054	0.000000
0.4067	0.000000
0.4080	0.000000
0.4092	0.000000
0.4105	0.000000
0.4118	0.000000
0.4130	0.000000
0.4143	0.000000
0.4156	0.000000
0.4169	0.000000
0.4181	0.000000
0.4194	0.000000
0.4207	0.000000
0.4219	0.000000
0.4232	0.000000
0.4245	0.000000
0.4257	0.000000
0.4270	0.000000
0.4283	0.000000
0.4296	0.000000
0.4308	0.000000
0.4321	0.000000
0.4334	0.000000
0.4346	0.000000
0.4359	0.000000
0.4372	0.000000
0.4384	0.000000
0.4397	0.000000
0.4410	0.000000
0.4423	0.000000
0.4435	0.000000
0.4448	0.000000
0.4461	0.000000
0.4473	0.000000
0.4486	0.000000
0.4499	0.000000
0.4511	0.000000
0.4524	0.000000
0.4537	0.000000
0.4550	0.000000
0.4562	0.000000
0.4575	0.000000
0.4588	0.000000
0.4600	0.000000
0.4613	0.000000
0.4626	0.000000
0.4638	0.000000
0.4651	0.000000
0.4664	0.000000
0.4677	0.000000
0.4689	0.000000
0.4702	0.000000
0.4715	0.000000
0.4727	0.000000
0.4740	0.000000
0.4753	0.000000
0.4765	0.000000
0.4778	0.000000
0.4791	0.000000
0.4804	0.000000
0.4816	0.000000
0.4829	0.000000
0.4842	0.000000
0.4854	0.000000
0.4867	0.000000
0.4880	0.000000
0.4892	0.000000
0.4905	0.000000
0.4918	0.000000
0.4931	0.000000
0.4943	0.000000
0.4956	0.000000
0.4969	0.000000
0.4981	0.000000
0.4994	0.000000
0.5007	0.000000
0.5020	0.000000
0.5032	0.000000
0.5045	0.000000
0.5058	0.000000
0.5070	0.000000
0.5083	0.000000
0.5096	0.000000
0.5108	0.000000
0.5121	0.000000
0.5134	0.000000
0.5147	0.000000
0.5159	0.000000
0.5172	0.000000
0.5185	0.000000
0.5197	0.000000
0.5210	0.000000
0.5223	0.000000
0.5235	0.000000
0.5248	0.000000
0.5261	0.000000
0.5274	0.000000
0.5286	0.000000
0.5299	0.000000
0.5312	0.000000
0.5324	0.000000
0.5337	0.000000
0.5350	0.000000
0.5362	0.000000
0.5375	0.000000
0.5388	0.000000
0.5401	0.000000
0.5413	0.000000
0.5426	0.000000
0.5439	0.000000
0.5451	0.000000
0.5464	0.000000
0.5477	0.000000
0.5489	0.000000
0.5502	0.000000
0.5515	0.000000
0.5528	0.000000
0.5540	0.000000
0.5553	0.000000
0.5566	0.000000
0.5578	0.000000
0.5591	0.000000
0.5604	0.000000
0.5616	0.000000
0.5629	0.000000
0.5642	0.000000
0.5655	0.000000
0.5667	0.000000
0.5680	0.000000
0.5693	0.000000
0.5705	0.000000
0.5718	0.000000
0.5731	0.000000
0.5743	0.000000
0.5756	0.000000
0.5769	0.000000
0.5782	0.000000
0.5794	0.000000
0.5807	0.000000
0.5820	0.000000
0.5832	0.000000
0.5845	0.000000
0.5858	0.000000
0.5870	0.000000
0.5883	0.000000
0.5896	0.000000
0.5909	0.000000
0.5921	0.000000
0.5934	0.000000
0.5947	0.000000
0.5959	0.000000
0.5972	0.000000
0.5985	0.000000
0.5997	0.000000
0.6010	0.000000
0.6023	0.000000
0.6036	0.000000
0.6048	0.000000
0.6061	0.000000
0.6074	0.000000
0.6086	0.000000
0.6099	0.000000
0.6112	0.000000
0.6125	0.000000
0.6137	0.000000
0.6150	0.000000
0.6163	0.000000
0.6175	0.000000
0.6188	0.000000
0.6201	0.000000
0.6213	0.000000
0.6226	0.000000
0.6239	0.000000
0.6252	0.000000
0.6264	0.000000
0.6277	0.000000
0.6290	0.000000
