PROFILE,WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,WATER
SAS,0.35,0.0059601,0.0099589,0.2
SAS,0.35,0.0059601,0.0099589,0.5
SAS,0.35,0.0059601,0.0099589,1.0
SAS,0.35,0.0059601,0.0099589,1.5
SAS,0.35,0.0059601,0.0099589,2.0
SAS,0.351,0.0058226,0.009888,0.2
SAS,0.351,0.0058226,0.009888,0.5
SAS,0.351,0.0058226,0.009888,1.0
SAS,0.351,0.0058226,0.009888,1.5
SAS,0.351,0.0058226,0.009888,2.0
SAS,0.352,0.0059942,0.010359,0.2
SAS,0.352,0.0059942,0.010359,0.5
SAS,0.352,0.0059942,0.010359,1.0
SAS,0.352,0.0059942,0.010359,1.5
SAS,0.352,0.0059942,0.010359,2.0
SAS,0.353,0.0055614,0.0097877,0.2
SAS,0.353,0.0055614,0.0097877,0.5
SAS,0.353,0.0055614,0.0097877,1.0
SAS,0.353,0.0055614,0.0097877,1.5
SAS,0.353,0.0055614,0.0097877,2.0
SAS,0.354,0.0063019,0.011274,0.2
SAS,0.354,0.0063019,0.011274,0.5
SAS,0.354,0.0063019,0.011274,1.0
SAS,0.354,0.0063019,0.011274,1.5
SAS,0.354,0.0063019,0.011274,2.0
SAS,0.355,0.0064054,0.01165,0.2
SAS,0.355,0.0064054,0.01165,0.5
SAS,0.355,0.0064054,0.01165,1.0
SAS,0.355,0.0064054,0.01165,1.5
SAS,0.355,0.0064054,0.01165,2.0
SAS,0.356,0.006272,0.011607,0.2
SAS,0.356,0.006272,0.011607,0.5
SAS,0.356,0.006272,0.011607,1.0
SAS,0.356,0.006272,0.011607,1.5
SAS,0.356,0.006272,0.011607,2.0
SAS,0.357,0.0042747,0.0080413,0.2
SAS,0.357,0.0042747,0.0080413,0.5
SAS,0.357,0.0042747,0.0080413,1.0
SAS,0.357,0.0042747,0.0080413,1.5
SAS,0.357,0.0042747,0.0080413,2.0
SAS,0.358,0.0046304,0.0088462,0.2
SAS,0.358,0.0046304,0.0088462,0.5
SAS,0.358,0.0046304,0.0088462,1.0
SAS,0.358,0.0046304,0.0088462,1.5
SAS,0.358,0.0046304,0.0088462,2.0
SAS,0.359,0.0043973,0.0085605,0.2
SAS,0.359,0.0043973,0.0085605,0.5
SAS,0.359,0.0043973,0.0085605,1.0
SAS,0.359,0.0043973,0.0085605,1.5
SAS,0.359,0.0043973,0.0085605,2.0
SAS,0.36,0.006176,0.012197,0.2
SAS,0.36,0.006176,0.012197,0.5
SAS,0.36,0.006176,0.012197,1.0
SAS,0.36,0.006176,0.012197,1.5
SAS,0.36,0.006176,0.012197,2.0
SAS,0.361,0.0047903,0.0096171,0.2
SAS,0.361,0.0047903,0.0096171,0.5
SAS,0.361,0.0047903,0.0096171,1.0
SAS,0.361,0.0047903,0.0096171,1.5
SAS,0.361,0.0047903,0.0096171,2.0
SAS,0.362,0.005236,0.010678,0.2
SAS,0.362,0.005236,0.010678,0.5
SAS,0.362,0.005236,0.010678,1.0
SAS,0.362,0.005236,0.010678,1.5
SAS,0.362,0.005236,0.010678,2.0
SAS,0.363,0.0056846,0.011775,0.2
SAS,0.363,0.0056846,0.011775,0.5
SAS,0.363,0.0056846,0.011775,1.0
SAS,0.363,0.0056846,0.011775,1.5
SAS,0.363,0.0056846,0.011775,2.0
SAS,0.364,0.0056381,0.011875,0.2
SAS,0.364,0.0056381,0.011875,0.5
SAS,0.364,0.0056381,0.011875,1.0
SAS,0.364,0.0056381,0.011875,1.5
SAS,0.364,0.0056381,0.011875,2.0
SAS,0.365,0.0051665,0.01106,0.2
SAS,0.365,0.0051665,0.01106,0.5
SAS,0.365,0.0051665,0.01106,1.0
SAS,0.365,0.0051665,0.01106,1.5
SAS,0.365,0.0051665,0.01106,2.0
SAS,0.366,0.0068746,0.014934,0.2
SAS,0.366,0.0068746,0.014934,0.5
SAS,0.366,0.0068746,0.014934,1.0
SAS,0.366,0.0068746,0.014934,1.5
SAS,0.366,0.0068746,0.014934,2.0
SAS,0.367,0.0061507,0.013575,0.2
SAS,0.367,0.0061507,0.013575,0.5
SAS,0.367,0.0061507,0.013575,1.0
SAS,0.367,0.0061507,0.013575,1.5
SAS,0.367,0.0061507,0.013575,2.0
SAS,0.368,0.0057623,0.012912,0.2
SAS,0.368,0.0057623,0.012912,0.5
SAS,0.368,0.0057623,0.012912,1.0
SAS,0.368,0.0057623,0.012912,1.5
SAS,0.368,0.0057623,0.012912,2.0
SAS,0.369,0.0055377,0.012605,0.2
SAS,0.369,0.0055377,0.012605,0.5
SAS,0.369,0.0055377,0.012605,1.0
SAS,0.369,0.0055377,0.012605,1.5
SAS,0.369,0.0055377,0.012605,2.0
SAS,0.37,0.0063108,0.01458,0.2
SAS,0.37,0.0063108,0.01458,0.5
SAS,0.37,0.0063108,0.01458,1.0
SAS,0.37,0.0063108,0.01458,1.5
SAS,0.37,0.0063108,0.01458,2.0
SAS,0.371,0.0049928,0.011722,0.2
SAS,0.371,0.0049928,0.011722,0.5
SAS,0.371,0.0049928,0.011722,1.0
SAS,0.371,0.0049928,0.011722,1.5
SAS,0.371,0.0049928,0.011722,2.0
SAS,0.372,0.0052088,0.012385,0.2
SAS,0.372,0.0052088,0.012385,0.5
SAS,0.372,0.0052088,0.012385,1.0
SAS,0.372,0.0052088,0.012385,1.5
SAS,0.372,0.0052088,0.012385,2.0
SAS,0.373,0.0051594,0.012463,0.2
SAS,0.373,0.0051594,0.012463,0.5
SAS,0.373,0.0051594,0.012463,1.0
SAS,0.373,0.0051594,0.012463,1.5
SAS,0.373,0.0051594,0.012463,2.0
SAS,0.374,0.0039959,0.0098133,0.2
SAS,0.374,0.0039959,0.0098133,0.5
SAS,0.374,0.0039959,0.0098133,1.0
SAS,0.374,0.0039959,0.0098133,1.5
SAS,0.374,0.0039959,0.0098133,2.0
SAS,0.375,0.00359,0.008943,0.2
SAS,0.375,0.00359,0.008943,0.5
SAS,0.375,0.00359,0.008943,1.0
SAS,0.375,0.00359,0.008943,1.5
SAS,0.375,0.00359,0.008943,2.0
SAS,0.376,0.0051337,0.012956,0.2
SAS,0.376,0.0051337,0.012956,0.5
SAS,0.376,0.0051337,0.012956,1.0
SAS,0.376,0.0051337,0.012956,1.5
SAS,0.376,0.0051337,0.012956,2.0
SAS,0.377,0.0052014,0.013334,0.2
SAS,0.377,0.0052014,0.013334,0.5
SAS,0.377,0.0052014,0.013334,1.0
SAS,0.377,0.0052014,0.013334,1.5
SAS,0.377,0.0052014,0.013334,2.0
SAS,0.378,0.0067255,0.017488,0.2
SAS,0.378,0.0067255,0.017488,0.5
SAS,0.378,0.0067255,0.017488,1.0
SAS,0.378,0.0067255,0.017488,1.5
SAS,0.378,0.0067255,0.017488,2.0
SAS,0.379,0.0051131,0.013477,0.2
SAS,0.379,0.0051131,0.013477,0.5
SAS,0.379,0.0051131,0.013477,1.0
SAS,0.379,0.0051131,0.013477,1.5
SAS,0.379,0.0051131,0.013477,2.0
SAS,0.38,0.0046701,0.012501,0.2
SAS,0.38,0.0046701,0.012501,0.5
SAS,0.38,0.0046701,0.012501,1.0
SAS,0.38,0.0046701,0.012501,1.5
SAS,0.38,0.0046701,0.012501,2.0
SAS,0.381,0.0053143,0.014414,0.2
SAS,0.381,0.0053143,0.014414,0.5
SAS,0.381,0.0053143,0.014414,1.0
SAS,0.381,0.0053143,0.014414,1.5
SAS,0.381,0.0053143,0.014414,2.0
SAS,0.382,0.0039154,0.010773,0.2
SAS,0.382,0.0039154,0.010773,0.5
SAS,0.382,0.0039154,0.010773,1.0
SAS,0.382,0.0039154,0.010773,1.5
SAS,0.382,0.0039154,0.010773,2.0
SAS,0.383,0.0026894,0.0075056,0.2
SAS,0.383,0.0026894,0.0075056,0.5
SAS,0.383,0.0026894,0.0075056,1.0
SAS,0.383,0.0026894,0.0075056,1.5
SAS,0.383,0.0026894,0.0075056,2.0
SAS,0.384,0.0029328,0.0083028,0.2
SAS,0.384,0.0029328,0.0083028,0.5
SAS,0.384,0.0029328,0.0083028,1.0
SAS,0.384,0.0029328,0.0083028,1.5
SAS,0.384,0.0029328,0.0083028,2.0
SAS,0.385,0.0043841,0.012575,0.2
SAS,0.385,0.0043841,0.012575,0.5
SAS,0.385,0.0043841,0.012575,1.0
SAS,0.385,0.0043841,0.012575,1.5
SAS,0.385,0.0043841,0.012575,2.0
SAS,0.386,0.0033856,0.0098482,0.2
SAS,0.386,0.0033856,0.0098482,0.5
SAS,0.386,0.0033856,0.0098482,1.0
SAS,0.386,0.0033856,0.0098482,1.5
SAS,0.386,0.0033856,0.0098482,2.0
SAS,0.387,0.0037889,0.011162,0.2
SAS,0.387,0.0037889,0.011162,0.5
SAS,0.387,0.0037889,0.011162,1.0
SAS,0.387,0.0037889,0.011162,1.5
SAS,0.387,0.0037889,0.011162,2.0
SAS,0.388,0.0037594,0.011229,0.2
SAS,0.388,0.0037594,0.011229,0.5
SAS,0.388,0.0037594,0.011229,1.0
SAS,0.388,0.0037594,0.011229,1.5
SAS,0.388,0.0037594,0.011229,2.0
SAS,0.389,0.0041773,0.01266,0.2
SAS,0.389,0.0041773,0.01266,0.5
SAS,0.389,0.0041773,0.01266,1.0
SAS,0.389,0.0041773,0.01266,1.5
SAS,0.389,0.0041773,0.01266,2.0
SAS,0.39,0.005113,0.015693,0.2
SAS,0.39,0.005113,0.015693,0.5
SAS,0.39,0.005113,0.015693,1.0
SAS,0.39,0.005113,0.015693,1.5
SAS,0.39,0.005113,0.015693,2.0
SAS,0.391,0.0056003,0.01743,0.2
SAS,0.391,0.0056003,0.01743,0.5
SAS,0.391,0.0056003,0.01743,1.0
SAS,0.391,0.0056003,0.01743,1.5
SAS,0.391,0.0056003,0.01743,2.0
SAS,0.392,0.004921,0.015505,0.2
SAS,0.392,0.004921,0.015505,0.5
SAS,0.392,0.004921,0.015505,1.0
SAS,0.392,0.004921,0.015505,1.5
SAS,0.392,0.004921,0.015505,2.0
SAS,0.393,0.0026227,0.0083593,0.2
SAS,0.393,0.0026227,0.0083593,0.5
SAS,0.393,0.0026227,0.0083593,1.0
SAS,0.393,0.0026227,0.0083593,1.5
SAS,0.393,0.0026227,0.0083593,2.0
SAS,0.394,0.0028329,0.009183,0.2
SAS,0.394,0.0028329,0.009183,0.5
SAS,0.394,0.0028329,0.009183,1.0
SAS,0.394,0.0028329,0.009183,1.5
SAS,0.394,0.0028329,0.009183,2.0
SAS,0.395,0.0047948,0.015723,0.2
SAS,0.395,0.0047948,0.015723,0.5
SAS,0.395,0.0047948,0.015723,1.0
SAS,0.395,0.0047948,0.015723,1.5
SAS,0.395,0.0047948,0.015723,2.0
SAS,0.396,0.0048088,0.01596,0.2
SAS,0.396,0.0048088,0.01596,0.5
SAS,0.396,0.0048088,0.01596,1.0
SAS,0.396,0.0048088,0.01596,1.5
SAS,0.396,0.0048088,0.01596,2.0
SAS,0.397,0.0019544,0.0065775,0.2
SAS,0.397,0.0019544,0.0065775,0.5
SAS,0.397,0.0019544,0.0065775,1.0
SAS,0.397,0.0019544,0.0065775,1.5
SAS,0.397,0.0019544,0.0065775,2.0
SAS,0.398,0.0053187,0.018132,0.2
SAS,0.398,0.0053187,0.018132,0.5
SAS,0.398,0.0053187,0.018132,1.0
SAS,0.398,0.0053187,0.018132,1.5
SAS,0.398,0.0053187,0.018132,2.0
SAS,0.399,0.006373,0.022001,0.2
SAS,0.399,0.006373,0.022001,0.5
SAS,0.399,0.006373,0.022001,1.0
SAS,0.399,0.006373,0.022001,1.5
SAS,0.399,0.006373,0.022001,2.0
SAS,0.4,0.0062587,0.021884,0.2
SAS,0.4,0.0062587,0.021884,0.5
SAS,0.4,0.0062587,0.021884,1.0
SAS,0.4,0.0062587,0.021884,1.5
SAS,0.4,0.0062587,0.021884,2.0
SAS,0.401,0.0060905,0.021561,0.2
SAS,0.401,0.0060905,0.021561,0.5
SAS,0.401,0.0060905,0.021561,1.0
SAS,0.401,0.0060905,0.021561,1.5
SAS,0.401,0.0060905,0.021561,2.0
SAS,0.402,0.0063303,0.022689,0.2
SAS,0.402,0.0063303,0.022689,0.5
SAS,0.402,0.0063303,0.022689,1.0
SAS,0.402,0.0063303,0.022689,1.5
SAS,0.402,0.0063303,0.022689,2.0
SAS,0.403,0.0059368,0.021542,0.2
SAS,0.403,0.0059368,0.021542,0.5
SAS,0.403,0.0059368,0.021542,1.0
SAS,0.403,0.0059368,0.021542,1.5
SAS,0.403,0.0059368,0.021542,2.0
SAS,0.404,0.0062532,0.022974,0.2
SAS,0.404,0.0062532,0.022974,0.5
SAS,0.404,0.0062532,0.022974,1.0
SAS,0.404,0.0062531,0.022974,1.5
SAS,0.404,0.0062531,0.022974,2.0
SAS,0.405,0.0057062,0.021237,0.2
SAS,0.405,0.0057062,0.021237,0.5
SAS,0.405,0.0057062,0.021237,1.0
SAS,0.405,0.0057062,0.021237,1.5
SAS,0.405,0.0057062,0.021237,2.0
SAS,0.406,0.0056102,0.021123,0.2
SAS,0.406,0.0056102,0.021123,0.5
SAS,0.406,0.0056102,0.021123,1.0
SAS,0.406,0.0056102,0.021123,1.5
SAS,0.406,0.0056102,0.021123,2.0
SAS,0.407,0.0053851,0.020526,0.2
SAS,0.407,0.0053851,0.020526,0.5
SAS,0.407,0.0053851,0.020526,1.0
SAS,0.407,0.0053851,0.020526,1.5
SAS,0.407,0.0053851,0.020526,2.0
SAS,0.408,0.0057498,0.022184,0.2
SAS,0.408,0.0057498,0.022184,0.5
SAS,0.408,0.0057498,0.022184,1.0
SAS,0.408,0.0057498,0.022184,1.5
SAS,0.408,0.0057498,0.022184,2.0
SAS,0.409,0.0062512,0.024412,0.2
SAS,0.409,0.0062512,0.024412,0.5
SAS,0.409,0.0062512,0.024412,1.0
SAS,0.409,0.0062512,0.024412,1.5
SAS,0.409,0.0062512,0.024412,2.0
SAS,0.41,0.0052006,0.020539,0.2
SAS,0.41,0.0052006,0.020539,0.5
SAS,0.41,0.0052006,0.020539,1.0
SAS,0.41,0.0052006,0.020539,1.5
SAS,0.41,0.0052006,0.020539,2.0
SAS,0.411,0.0060418,0.024162,0.2
SAS,0.411,0.0060418,0.024162,0.5
SAS,0.411,0.0060418,0.024162,1.0
SAS,0.411,0.0060418,0.024162,1.5
SAS,0.411,0.0060418,0.024162,2.0
SAS,0.412,0.0062347,0.025224,0.2
SAS,0.412,0.0062347,0.025224,0.5
SAS,0.412,0.0062347,0.025224,1.0
SAS,0.412,0.0062347,0.025224,1.5
SAS,0.412,0.0062347,0.025224,2.0
SAS,0.413,0.0057253,0.023436,0.2
SAS,0.413,0.0057253,0.023436,0.5
SAS,0.413,0.0057253,0.023436,1.0
SAS,0.413,0.0057253,0.023436,1.5
SAS,0.413,0.0057253,0.023436,2.0
SAS,0.414,0.0056157,0.023262,0.2
SAS,0.414,0.0056157,0.023262,0.5
SAS,0.414,0.0056157,0.023262,1.0
SAS,0.414,0.0056157,0.023262,1.5
SAS,0.414,0.0056157,0.023262,2.0
SAS,0.415,0.0058941,0.024706,0.2
SAS,0.415,0.0058941,0.024706,0.5
SAS,0.415,0.0058941,0.024706,1.0
SAS,0.415,0.0058941,0.024706,1.5
SAS,0.415,0.0058941,0.024706,2.0
SAS,0.416,0.0058721,0.024904,0.2
SAS,0.416,0.0058721,0.024904,0.5
SAS,0.416,0.0058721,0.024904,1.0
SAS,0.416,0.0058721,0.024904,1.5
SAS,0.416,0.0058721,0.024904,2.0
SAS,0.417,0.0055387,0.023751,0.2
SAS,0.417,0.0055387,0.023751,0.5
SAS,0.417,0.0055387,0.023751,1.0
SAS,0.417,0.0055387,0.023751,1.5
SAS,0.417,0.0055387,0.023751,2.0
SAS,0.418,0.0054282,0.023553,0.2
SAS,0.418,0.0054282,0.023553,0.5
SAS,0.418,0.0054282,0.023553,1.0
SAS,0.418,0.0054282,0.023553,1.5
SAS,0.418,0.0054282,0.023553,2.0
SAS,0.419,0.0054533,0.023934,0.2
SAS,0.419,0.0054533,0.023934,0.5
SAS,0.419,0.0054533,0.023934,1.0
SAS,0.419,0.0054533,0.023934,1.5
SAS,0.419,0.0054533,0.023934,2.0
SAS,0.42,0.0045686,0.020279,0.2
SAS,0.42,0.0045686,0.020279,0.5
SAS,0.42,0.0045686,0.020279,1.0
SAS,0.42,0.0045686,0.020279,1.5
SAS,0.42,0.0045686,0.020279,2.0
SAS,0.421,0.0056838,0.025515,0.2
SAS,0.421,0.0056838,0.025515,0.5
SAS,0.421,0.0056838,0.025515,1.0
SAS,0.421,0.0056838,0.025515,1.5
SAS,0.421,0.0056838,0.025515,2.0
SAS,0.422,0.0053821,0.024439,0.2
SAS,0.422,0.0053821,0.024439,0.5
SAS,0.422,0.0053821,0.024439,1.0
SAS,0.422,0.0053821,0.024439,1.5
SAS,0.422,0.0053821,0.024439,2.0
SAS,0.423,0.0045144,0.020732,0.2
SAS,0.423,0.0045144,0.020732,0.5
SAS,0.423,0.0045144,0.020732,1.0
SAS,0.423,0.0045144,0.020732,1.5
SAS,0.423,0.0045144,0.020732,2.0
SAS,0.424,0.0048538,0.022532,0.2
SAS,0.424,0.0048538,0.022532,0.5
SAS,0.424,0.0048538,0.022532,1.0
SAS,0.424,0.0048538,0.022532,1.5
SAS,0.424,0.0048538,0.022532,2.0
SAS,0.425,0.0049914,0.023427,0.2
SAS,0.425,0.0049914,0.023427,0.5
SAS,0.425,0.0049914,0.023427,1.0
SAS,0.425,0.0049914,0.023427,1.5
SAS,0.425,0.0049914,0.023427,2.0
SAS,0.426,0.0047674,0.022628,0.2
SAS,0.426,0.0047674,0.022628,0.5
SAS,0.426,0.0047674,0.022628,1.0
SAS,0.426,0.0047674,0.022628,1.5
SAS,0.426,0.0047674,0.022628,2.0
SAS,0.427,0.0045327,0.02174,0.2
SAS,0.427,0.0045327,0.02174,0.5
SAS,0.427,0.0045327,0.02174,1.0
SAS,0.427,0.0045327,0.02174,1.5
SAS,0.427,0.0045327,0.02174,2.0
SAS,0.428,0.0045236,0.021945,0.2
SAS,0.428,0.0045236,0.021945,0.5
SAS,0.428,0.0045236,0.021945,1.0
SAS,0.428,0.0045236,0.021945,1.5
SAS,0.428,0.0045236,0.021945,2.0
SAS,0.429,0.004091,0.020059,0.2
SAS,0.429,0.004091,0.020059,0.5
SAS,0.429,0.004091,0.020059,1.0
SAS,0.429,0.004091,0.020059,1.5
SAS,0.429,0.004091,0.020059,2.0
SAS,0.43,0.0032506,0.016103,0.2
SAS,0.43,0.0032506,0.016103,0.5
SAS,0.43,0.0032506,0.016103,1.0
SAS,0.43,0.0032506,0.016103,1.5
SAS,0.43,0.0032506,0.016103,2.0
SAS,0.431,0.0028681,0.014373,0.2
SAS,0.431,0.0028681,0.014373,0.5
SAS,0.431,0.0028681,0.014373,1.0
SAS,0.431,0.0028681,0.014373,1.5
SAS,0.431,0.0028681,0.014373,2.0
SAS,0.432,0.0051151,0.025902,0.2
SAS,0.432,0.0051151,0.025902,0.5
SAS,0.432,0.0051151,0.025902,1.0
SAS,0.432,0.0051151,0.025902,1.5
SAS,0.432,0.0051151,0.025902,2.0
SAS,0.433,0.0045081,0.023087,0.2
SAS,0.433,0.0045081,0.023087,0.5
SAS,0.433,0.0045081,0.023087,1.0
SAS,0.433,0.0045081,0.023087,1.5
SAS,0.433,0.0045081,0.023087,2.0
SAS,0.434,0.0042631,0.022042,0.2
SAS,0.434,0.0042631,0.022042,0.5
SAS,0.434,0.0042631,0.022042,1.0
SAS,0.434,0.0042631,0.022042,1.5
SAS,0.434,0.0042631,0.022042,2.0
SAS,0.435,0.0045463,0.023758,0.2
SAS,0.435,0.0045463,0.023758,0.5
SAS,0.435,0.0045463,0.023758,1.0
SAS,0.435,0.0045463,0.023758,1.5
SAS,0.435,0.0045463,0.023758,2.0
SAS,0.436,0.0050173,0.026504,0.2
SAS,0.436,0.0050173,0.026504,0.5
SAS,0.436,0.0050173,0.026504,1.0
SAS,0.436,0.0050173,0.026504,1.5
SAS,0.436,0.0050173,0.026504,2.0
SAS,0.437,0.0050019,0.026695,0.2
SAS,0.437,0.0050019,0.026695,0.5
SAS,0.437,0.0050019,0.026695,1.0
SAS,0.437,0.0050019,0.026695,1.5
SAS,0.437,0.0050019,0.026695,2.0
SAS,0.438,0.0044761,0.024138,0.2
SAS,0.438,0.0044761,0.024138,0.5
SAS,0.438,0.0044761,0.024138,1.0
SAS,0.438,0.0044761,0.024138,1.5
SAS,0.438,0.0044761,0.024138,2.0
SAS,0.439,0.0042298,0.023057,0.2
SAS,0.439,0.0042298,0.023057,0.5
SAS,0.439,0.0042298,0.023057,1.0
SAS,0.439,0.0042298,0.023057,1.5
SAS,0.439,0.0042298,0.023057,2.0
SAS,0.44,0.0047109,0.025938,0.2
SAS,0.44,0.0047109,0.025938,0.5
SAS,0.44,0.0047109,0.025938,1.0
SAS,0.44,0.0047109,0.025938,1.5
SAS,0.44,0.0047109,0.025938,2.0
SAS,0.441,0.0046725,0.025999,0.2
SAS,0.441,0.0046725,0.025998,0.5
SAS,0.441,0.0046724,0.025996,1.0
SAS,0.441,0.0046723,0.025995,1.5
SAS,0.441,0.0046723,0.025995,2.0
SAS,0.442,0.0048479,0.027242,0.2
SAS,0.442,0.0048476,0.027237,0.5
SAS,0.442,0.0048469,0.027225,1.0
SAS,0.442,0.0048461,0.027213,1.5
SAS,0.442,0.0048459,0.027212,2.0
SAS,0.443,0.0048633,0.027585,0.2
SAS,0.443,0.0048618,0.027557,0.5
SAS,0.443,0.0048587,0.027502,1.0
SAS,0.443,0.0048552,0.027448,1.5
SAS,0.443,0.0048542,0.02744,2.0
SAS,0.444,0.0047576,0.027271,0.2
SAS,0.444,0.0047571,0.027261,0.5
SAS,0.444,0.004756,0.027241,1.0
SAS,0.444,0.0047547,0.027222,1.5
SAS,0.444,0.0047544,0.027219,2.0
SAS,0.445,0.0049857,0.028864,0.2
SAS,0.445,0.004985,0.02885,0.5
SAS,0.445,0.0049835,0.028823,1.0
SAS,0.445,0.0049817,0.028795,1.5
SAS,0.445,0.0049813,0.028792,2.0
SAS,0.446,0.004384,0.025639,0.2
SAS,0.446,0.0043833,0.025626,0.5
SAS,0.446,0.0043818,0.0256,1.0
SAS,0.446,0.0043802,0.025575,1.5
SAS,0.446,0.0043798,0.025571,2.0
SAS,0.447,0.0049395,0.029183,0.2
SAS,0.447,0.0049393,0.02918,0.5
SAS,0.447,0.004939,0.029173,1.0
SAS,0.447,0.0049386,0.029166,1.5
SAS,0.447,0.0049385,0.029165,2.0
SAS,0.448,0.0049767,0.029691,0.2
SAS,0.448,0.0049766,0.02969,0.5
SAS,0.448,0.0049765,0.029687,1.0
SAS,0.448,0.0049764,0.029684,1.5
SAS,0.448,0.0049763,0.029684,2.0
SAS,0.449,0.0049746,0.029977,0.2
SAS,0.449,0.0049746,0.029977,0.5
SAS,0.449,0.0049746,0.029977,1.0
SAS,0.449,0.0049746,0.029977,1.5
SAS,0.449,0.0049746,0.029977,2.0
SAS,0.45,0.0050216,0.030564,0.2
SAS,0.45,0.0050216,0.030564,0.5
SAS,0.45,0.0050216,0.030564,1.0
SAS,0.45,0.0050216,0.030564,1.5
SAS,0.45,0.0050216,0.030564,2.0
SAS,0.451,0.0053838,0.033082,0.2
SAS,0.451,0.0053838,0.033082,0.5
SAS,0.451,0.0053838,0.033082,1.0
SAS,0.451,0.0053838,0.033082,1.5
SAS,0.451,0.0053838,0.033082,2.0
SAS,0.452,0.0049611,0.030783,0.2
SAS,0.452,0.0049611,0.030783,0.5
SAS,0.452,0.0049611,0.030783,1.0
SAS,0.452,0.0049611,0.030783,1.5
SAS,0.452,0.0049611,0.030783,2.0
SAS,0.453,0.004534,0.028405,0.2
SAS,0.453,0.004534,0.028405,0.5
SAS,0.453,0.004534,0.028405,1.0
SAS,0.453,0.004534,0.028405,1.5
SAS,0.453,0.004534,0.028405,2.0
SAS,0.454,0.0048259,0.030533,0.2
SAS,0.454,0.0048259,0.030533,0.5
SAS,0.454,0.0048259,0.030533,1.0
SAS,0.454,0.0048259,0.030533,1.5
SAS,0.454,0.0048259,0.030533,2.0
SAS,0.455,0.0047984,0.030651,0.2
