WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,PROFILE,INITIAL_H2O,FINAL_H2O
0.35,0.0059601,0.0099589,SAS,0.25,0.33439
0.351,0.0058227,0.009888,SAS,0.25,0.33439
0.352,0.0059942,0.010359,SAS,0.25,0.33439
0.353,0.0055614,0.0097877,SAS,0.25,0.33439
0.354,0.0063019,0.011274,SAS,0.25,0.33439
0.355,0.0064054,0.01165,SAS,0.25,0.33439
0.356,0.006272,0.011607,SAS,0.25,0.33439
0.357,0.0042747,0.0080413,SAS,0.25,0.33439
0.358,0.0046304,0.0088462,SAS,0.25,0.33439
0.359,0.0043973,0.0085605,SAS,0.25,0.33439
0.36,0.006176,0.012197,SAS,0.25,0.33439
0.361,0.0047903,0.0096171,SAS,0.25,0.33439
0.362,0.005236,0.010678,SAS,0.25,0.33439
0.363,0.0056846,0.011775,SAS,0.25,0.33439
0.364,0.0056381,0.011875,SAS,0.25,0.33439
0.365,0.0051665,0.01106,SAS,0.25,0.33439
0.366,0.0068746,0.014934,SAS,0.25,0.33439
0.367,0.0061507,0.013575,SAS,0.25,0.33439
0.368,0.0057623,0.012912,SAS,0.25,0.33439
0.369,0.0055377,0.012605,SAS,0.25,0.33439
0.37,0.0063108,0.01458,SAS,0.25,0.33439
0.371,0.0049928,0.011722,SAS,0.25,0.33439
0.372,0.0052088,0.012385,SAS,0.25,0.33439
0.373,0.0051594,0.012463,SAS,0.25,0.33439
0.374,0.0039959,0.0098133,SAS,0.25,0.33439
0.375,0.00359,0.008943,SAS,0.25,0.33439
0.376,0.0051337,0.012956,SAS,0.25,0.33439
0.377,0.0052014,0.013334,SAS,0.25,0.33439
0.378,0.0067255,0.017488,SAS,0.25,0.33439
0.379,0.0051131,0.013477,SAS,0.25,0.33439
0.38,0.0046701,0.012501,SAS,0.25,0.33439
0.381,0.0053144,0.014414,SAS,0.25,0.33439
0.382,0.0039154,0.010773,SAS,0.25,0.33439
0.383,0.0026894,0.0075056,SAS,0.25,0.33439
0.384,0.0029328,0.0083028,SAS,0.25,0.33439
0.385,0.0043841,0.012575,SAS,0.25,0.33439
0.386,0.0033856,0.0098482,SAS,0.25,0.33439
0.387,0.0037889,0.011162,SAS,0.25,0.33439
0.388,0.0037594,0.011229,SAS,0.25,0.33439
0.389,0.0041773,0.01266,SAS,0.25,0.33439
0.39,0.005113,0.015693,SAS,0.25,0.33439
0.391,0.0056003,0.01743,SAS,0.25,0.33439
0.392,0.0049209,0.015505,SAS,0.25,0.33439
0.393,0.0026227,0.0083593,SAS,0.25,0.33439
0.394,0.0028329,0.009183,SAS,0.25,0.33439
0.395,0.0047948,0.015723,SAS,0.25,0.33439
0.396,0.0048088,0.01596,SAS,0.25,0.33439
0.397,0.0019544,0.0065775,SAS,0.25,0.33439
0.398,0.0053187,0.018132,SAS,0.25,0.33439
0.399,0.006373,0.022001,SAS,0.25,0.33439
0.4,0.0062587,0.021884,SAS,0.25,0.33439
0.401,0.0060905,0.021561,SAS,0.25,0.33439
0.402,0.0063303,0.022689,SAS,0.25,0.33439
0.403,0.0059368,0.021542,SAS,0.25,0.33439
0.404,0.0062531,0.022974,SAS,0.25,0.33439
0.405,0.0057062,0.021237,SAS,0.25,0.33439
0.406,0.0056102,0.021123,SAS,0.25,0.33439
0.407,0.0053851,0.020526,SAS,0.25,0.33439
0.408,0.0057498,0.022184,SAS,0.25,0.33439
0.409,0.0062512,0.024412,SAS,0.25,0.33439
0.41,0.0052006,0.020539,SAS,0.25,0.33439
0.411,0.0060418,0.024162,SAS,0.25,0.33439
0.412,0.0062347,0.025224,SAS,0.25,0.33439
0.413,0.0057253,0.023436,SAS,0.25,0.33439
0.414,0.0056157,0.023262,SAS,0.25,0.33439
0.415,0.005894,0.024706,SAS,0.25,0.33439
0.416,0.005872,0.024904,SAS,0.25,0.33439
0.417,0.0055387,0.023751,SAS,0.25,0.33439
0.418,0.0054282,0.023553,SAS,0.25,0.33439
0.419,0.0054533,0.023934,SAS,0.25,0.33439
0.42,0.0045686,0.020279,SAS,0.25,0.33439
0.421,0.0056838,0.025515,SAS,0.25,0.33439
0.422,0.0053821,0.024439,SAS,0.25,0.33439
0.423,0.0045144,0.020732,SAS,0.25,0.33439
0.424,0.0048538,0.022532,SAS,0.25,0.33439
0.425,0.0049915,0.023428,SAS,0.25,0.33439
0.426,0.0047674,0.022628,SAS,0.25,0.33439
0.427,0.0045327,0.02174,SAS,0.25,0.33439
0.428,0.0045235,0.021944,SAS,0.25,0.33439
0.429,0.004091,0.020059,SAS,0.25,0.33439
0.43,0.0032506,0.016103,SAS,0.25,0.33439
0.431,0.0028681,0.014373,SAS,0.25,0.33439
0.432,0.0051151,0.025902,SAS,0.25,0.33439
0.433,0.0045081,0.023087,SAS,0.25,0.33439
0.434,0.0042631,0.022042,SAS,0.25,0.33439
0.435,0.0045463,0.023759,SAS,0.25,0.33439
0.436,0.0050173,0.026504,SAS,0.25,0.33439
0.437,0.0050018,0.026695,SAS,0.25,0.33439
0.438,0.0044761,0.024138,SAS,0.25,0.33439
0.439,0.0042298,0.023057,SAS,0.25,0.33439
0.44,0.0047104,0.025936,SAS,0.25,0.33439
0.441,0.0046725,0.025999,SAS,0.25,0.33439
0.442,0.0048479,0.027242,SAS,0.25,0.33439
0.443,0.0048633,0.027585,SAS,0.25,0.33439
0.444,0.0047576,0.027271,SAS,0.25,0.33439
0.445,0.0049857,0.028863,SAS,0.25,0.33439
0.446,0.004384,0.025639,SAS,0.25,0.33439
0.447,0.0049395,0.029183,SAS,0.25,0.33439
0.448,0.0049768,0.029691,SAS,0.25,0.33439
0.449,0.0049747,0.029977,SAS,0.25,0.33439
0.45,0.0050215,0.030564,SAS,0.25,0.33439
0.451,0.0053838,0.033082,SAS,0.25,0.33439
0.452,0.0049609,0.030782,SAS,0.25,0.33439
0.453,0.004534,0.028405,SAS,0.25,0.33439
0.454,0.0048257,0.030531,SAS,0.25,0.33439
0.455,0.0047981,0.030649,SAS,0.25,0.33439
0.456,0.0048744,0.031434,SAS,0.25,0.33439
0.457,0.0048762,0.031741,SAS,0.25,0.33439
0.458,0.0046964,0.030854,SAS,0.25,0.33439
0.459,0.0047047,0.031206,SAS,0.25,0.33439
0.46,0.0045946,0.030761,SAS,0.25,0.33439
0.461,0.004724,0.031923,SAS,0.25,0.33439
0.462,0.0045937,0.031333,SAS,0.25,0.33439
0.463,0.0045516,0.031332,SAS,0.25,0.33439
0.464,0.0045501,0.031615,SAS,0.25,0.33439
0.465,0.0044335,0.031088,SAS,0.25,0.33439
0.466,0.0045246,0.032019,SAS,0.25,0.33439
0.467,0.0043474,0.031042,SAS,0.25,0.33439
0.468,0.0045526,0.032799,SAS,0.25,0.33439
0.469,0.0044471,0.03233,SAS,0.25,0.33439
0.47,0.0043672,0.032023,SAS,0.25,0.33439
0.471,0.0043278,0.03203,SAS,0.25,0.33439
0.472,0.0043528,0.032501,SAS,0.25,0.33439
0.473,0.0042841,0.032268,SAS,0.25,0.33439
