PROFILE,WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,WATER
SAW,0.35,0.0059207,0.010033,0.2
SAW,0.35,0.0059207,0.010033,1.5
SAW,0.35,0.0059207,0.010033,2.0
SAW,0.351,0.0057836,0.0099598,0.2
SAW,0.351,0.0057836,0.0099598,1.5
SAW,0.351,0.0057836,0.0099598,2.0
SAW,0.352,0.0059508,0.010428,0.2
SAW,0.352,0.0059508,0.010428,1.5
SAW,0.352,0.0059508,0.010428,2.0
SAW,0.353,0.0055231,0.0098554,0.2
SAW,0.353,0.0055231,0.0098554,1.5
SAW,0.353,0.0055231,0.0098554,2.0
SAW,0.354,0.0062582,0.01135,0.2
SAW,0.354,0.0062582,0.01135,1.5
SAW,0.354,0.0062582,0.01135,2.0
SAW,0.355,0.0063604,0.011727,0.2
SAW,0.355,0.0063604,0.011727,1.5
SAW,0.355,0.0063604,0.011727,2.0
SAW,0.356,0.0062273,0.011682,0.2
SAW,0.356,0.0062273,0.011682,1.5
SAW,0.356,0.0062273,0.011682,2.0
SAW,0.357,0.0042446,0.0080933,0.2
SAW,0.357,0.0042446,0.0080933,1.5
SAW,0.357,0.0042446,0.0080933,2.0
SAW,0.358,0.0045975,0.0089022,0.2
SAW,0.358,0.0045975,0.0089022,1.5
SAW,0.358,0.0045975,0.0089022,2.0
SAW,0.359,0.0043657,0.0086132,0.2
SAW,0.359,0.0043657,0.0086132,1.5
SAW,0.359,0.0043657,0.0086132,2.0
SAW,0.36,0.0061315,0.012271,0.2
SAW,0.36,0.0061315,0.012271,1.5
SAW,0.36,0.0061315,0.012271,2.0
SAW,0.361,0.0047563,0.0096762,0.2
SAW,0.361,0.0047563,0.0096762,1.5
SAW,0.361,0.0047563,0.0096762,2.0
SAW,0.362,0.0051987,0.010743,0.2
SAW,0.362,0.0051987,0.010743,1.5
SAW,0.362,0.0051987,0.010743,2.0
SAW,0.363,0.0056443,0.011846,0.2
SAW,0.363,0.0056443,0.011846,1.5
SAW,0.363,0.0056443,0.011846,2.0
SAW,0.364,0.0055981,0.011945,0.2
SAW,0.364,0.0055981,0.011945,1.5
SAW,0.364,0.0055981,0.011945,2.0
SAW,0.365,0.0051305,0.011126,0.2
SAW,0.365,0.0051305,0.011126,1.5
SAW,0.365,0.0051305,0.011126,2.0
SAW,0.366,0.0068264,0.015023,0.2
SAW,0.366,0.0068264,0.015023,1.5
SAW,0.366,0.0068264,0.015023,2.0
SAW,0.367,0.0061074,0.013654,0.2
SAW,0.367,0.0061074,0.013654,1.5
SAW,0.367,0.0061074,0.013654,2.0
SAW,0.368,0.0057219,0.012987,0.2
SAW,0.368,0.0057219,0.012987,1.5
SAW,0.368,0.0057219,0.012987,2.0
SAW,0.369,0.0054987,0.012678,0.2
SAW,0.369,0.0054987,0.012678,1.5
SAW,0.369,0.0054987,0.012678,2.0
SAW,0.37,0.0062664,0.014662,0.2
SAW,0.37,0.0062664,0.014662,1.5
SAW,0.37,0.0062664,0.014662,2.0
SAW,0.371,0.0049576,0.011787,0.2
SAW,0.371,0.0049576,0.011787,1.5
SAW,0.371,0.0049576,0.011787,2.0
SAW,0.372,0.0051727,0.012455,0.2
SAW,0.372,0.0051727,0.012455,1.5
SAW,0.372,0.0051727,0.012455,2.0
SAW,0.373,0.0051232,0.012532,0.2
SAW,0.373,0.0051232,0.012532,1.5
SAW,0.373,0.0051232,0.012532,2.0
SAW,0.374,0.0039677,0.0098668,0.2
SAW,0.374,0.0039677,0.0098668,1.5
SAW,0.374,0.0039677,0.0098668,2.0
SAW,0.375,0.0035648,0.0089917,0.2
SAW,0.375,0.0035648,0.0089917,1.5
SAW,0.375,0.0035648,0.0089917,2.0
SAW,0.376,0.0050984,0.013028,0.2
SAW,0.376,0.0050984,0.013028,1.5
SAW,0.376,0.0050984,0.013028,2.0
SAW,0.377,0.0051651,0.013406,0.2
SAW,0.377,0.0051651,0.013406,1.5
SAW,0.377,0.0051651,0.013406,2.0
SAW,0.378,0.006678,0.017579,0.2
SAW,0.378,0.006678,0.017579,1.5
SAW,0.378,0.006678,0.017579,2.0
SAW,0.379,0.0050774,0.013548,0.2
SAW,0.379,0.0050774,0.013548,1.5
SAW,0.379,0.0050774,0.013548,2.0
SAW,0.38,0.0046379,0.012567,0.2
SAW,0.38,0.0046379,0.012567,1.5
SAW,0.38,0.0046379,0.012567,2.0
SAW,0.381,0.0052775,0.014489,0.2
SAW,0.381,0.0052775,0.014489,1.5
SAW,0.381,0.0052775,0.014489,2.0
SAW,0.382,0.003888,0.010828,0.2
SAW,0.382,0.003888,0.010828,1.5
SAW,0.382,0.003888,0.010828,2.0
SAW,0.383,0.0026705,0.0075434,0.2
SAW,0.383,0.0026705,0.0075434,1.5
SAW,0.383,0.0026705,0.0075434,2.0
SAW,0.384,0.0029125,0.0083448,0.2
SAW,0.384,0.0029125,0.0083448,1.5
SAW,0.384,0.0029125,0.0083448,2.0
SAW,0.385,0.0043538,0.012639,0.2
SAW,0.385,0.0043538,0.012639,1.5
SAW,0.385,0.0043538,0.012639,2.0
SAW,0.386,0.003362,0.0098968,0.2
SAW,0.386,0.003362,0.0098968,1.5
SAW,0.386,0.003362,0.0098968,2.0
SAW,0.387,0.0037625,0.011216,0.2
SAW,0.387,0.0037625,0.011216,1.5
SAW,0.387,0.0037625,0.011216,2.0
SAW,0.388,0.0037334,0.011284,0.2
SAW,0.388,0.0037334,0.011284,1.5
SAW,0.388,0.0037334,0.011284,2.0
SAW,0.389,0.0041484,0.012721,0.2
SAW,0.389,0.0041484,0.012721,1.5
SAW,0.389,0.0041484,0.012721,2.0
SAW,0.39,0.0050777,0.015769,0.2
SAW,0.39,0.0050777,0.015769,1.5
SAW,0.39,0.0050777,0.015769,2.0
SAW,0.391,0.0055616,0.017513,0.2
SAW,0.391,0.0055616,0.017513,1.5
SAW,0.391,0.0055616,0.017513,2.0
SAW,0.392,0.0048873,0.015579,0.2
SAW,0.392,0.0048873,0.015579,1.5
SAW,0.392,0.0048873,0.015579,2.0
SAW,0.393,0.0026045,0.0083982,0.2
SAW,0.393,0.0026045,0.0083982,1.5
SAW,0.393,0.0026045,0.0083982,2.0
SAW,0.394,0.0028131,0.0092248,0.2
SAW,0.394,0.0028131,0.0092248,1.5
SAW,0.394,0.0028131,0.0092248,2.0
SAW,0.395,0.0047617,0.015796,0.2
SAW,0.395,0.0047617,0.015796,1.5
SAW,0.395,0.0047617,0.015796,2.0
SAW,0.396,0.0047757,0.016033,0.2
SAW,0.396,0.0047757,0.016033,1.5
SAW,0.396,0.0047757,0.016033,2.0
SAW,0.397,0.0019408,0.0066067,0.2
SAW,0.397,0.0019408,0.0066067,1.5
SAW,0.397,0.0019408,0.0066067,2.0
SAW,0.398,0.0052825,0.018215,0.2
SAW,0.398,0.0052825,0.018215,1.5
SAW,0.398,0.0052825,0.018215,2.0
SAW,0.399,0.006329,0.022099,0.2
SAW,0.399,0.006329,0.022099,1.5
SAW,0.399,0.006329,0.022099,2.0
SAW,0.4,0.0062163,0.021983,0.2
SAW,0.4,0.0062163,0.021983,1.5
SAW,0.4,0.0062163,0.021983,2.0
SAW,0.401,0.0060491,0.021657,0.2
SAW,0.401,0.0060491,0.021657,1.5
SAW,0.401,0.0060491,0.021657,2.0
SAW,0.402,0.0062866,0.022787,0.2
SAW,0.402,0.0062866,0.022787,1.5
SAW,0.402,0.0062866,0.022787,2.0
SAW,0.403,0.0058955,0.021633,0.2
SAW,0.403,0.0058955,0.021633,1.5
SAW,0.403,0.0058955,0.021633,2.0
SAW,0.404,0.0062102,0.023072,0.2
SAW,0.404,0.0062102,0.023072,1.5
SAW,0.404,0.0062102,0.023072,2.0
SAW,0.405,0.0056674,0.021328,0.2
SAW,0.405,0.0056674,0.021328,1.5
SAW,0.405,0.0056674,0.021328,2.0
SAW,0.406,0.0055714,0.02121,0.2
SAW,0.406,0.0055714,0.02121,1.5
SAW,0.406,0.0055714,0.02121,2.0
SAW,0.407,0.0053473,0.020608,0.2
SAW,0.407,0.0053473,0.020608,1.5
SAW,0.407,0.0053473,0.020608,2.0
SAW,0.408,0.0057108,0.022277,0.2
SAW,0.408,0.0057108,0.022277,1.5
SAW,0.408,0.0057108,0.022277,2.0
SAW,0.409,0.0062088,0.024514,0.2
SAW,0.409,0.0062088,0.024514,1.5
SAW,0.409,0.0062088,0.024514,2.0
SAW,0.41,0.0051653,0.020624,0.2
SAW,0.41,0.0051653,0.020624,1.5
SAW,0.41,0.0051653,0.020624,2.0
SAW,0.411,0.0060006,0.02426,0.2
SAW,0.411,0.0060006,0.02426,1.5
SAW,0.411,0.0060006,0.02426,2.0
SAW,0.412,0.0061915,0.025323,0.2
SAW,0.412,0.0061915,0.025323,1.5
SAW,0.412,0.0061915,0.025323,2.0
SAW,0.413,0.0056869,0.023532,0.2
SAW,0.413,0.0056869,0.023532,1.5
SAW,0.413,0.0056869,0.023532,2.0
SAW,0.414,0.0055777,0.023355,0.2
SAW,0.414,0.0055777,0.023355,1.5
SAW,0.414,0.0055777,0.023355,2.0
SAW,0.415,0.0058537,0.024802,0.2
SAW,0.415,0.0058537,0.024802,1.5
SAW,0.415,0.0058537,0.024802,2.0
SAW,0.416,0.005831,0.024996,0.2
SAW,0.416,0.005831,0.024996,1.5
SAW,0.416,0.005831,0.024996,2.0
SAW,0.417,0.0055003,0.023839,0.2
SAW,0.417,0.0055003,0.023839,1.5
SAW,0.417,0.0055003,0.023839,2.0
SAW,0.418,0.0053909,0.023642,0.2
SAW,0.418,0.0053909,0.023642,1.5
SAW,0.418,0.0053909,0.023642,2.0
SAW,0.419,0.005416,0.024023,0.2
SAW,0.419,0.005416,0.024023,1.5
SAW,0.419,0.005416,0.024023,2.0
SAW,0.42,0.0045376,0.020355,0.2
SAW,0.42,0.0045376,0.020355,1.5
SAW,0.42,0.0045376,0.020355,2.0
SAW,0.421,0.0056453,0.02561,0.2
SAW,0.421,0.0056453,0.02561,1.5
SAW,0.421,0.0056453,0.02561,2.0
SAW,0.422,0.0053458,0.02453,0.2
SAW,0.422,0.0053458,0.02453,1.5
SAW,0.422,0.0053458,0.02453,2.0
SAW,0.423,0.0044838,0.020808,0.2
SAW,0.423,0.0044838,0.020808,1.5
SAW,0.423,0.0044838,0.020808,2.0
SAW,0.424,0.0048215,0.022616,0.2
SAW,0.424,0.0048215,0.022616,1.5
SAW,0.424,0.0048215,0.022616,2.0
SAW,0.425,0.0049579,0.023513,0.2
SAW,0.425,0.0049579,0.023513,1.5
SAW,0.425,0.0049579,0.023513,2.0
SAW,0.426,0.0047343,0.022705,0.2
SAW,0.426,0.0047343,0.022705,1.5
SAW,0.426,0.0047343,0.022705,2.0
SAW,0.427,0.0045019,0.021816,0.2
SAW,0.427,0.0045019,0.021816,1.5
SAW,0.427,0.0045019,0.021816,2.0
SAW,0.428,0.0044934,0.022023,0.2
SAW,0.428,0.0044934,0.022023,1.5
