WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,PROFILE,INITIAL_H2O,FINAL_H2O
0.35,0.0059207,0.010033,SAW,0.25,0.07436
0.351,0.0057836,0.0099598,SAW,0.25,0.07436
0.352,0.0059508,0.010428,SAW,0.25,0.07436
0.353,0.0055231,0.0098554,SAW,0.25,0.07436
0.354,0.0062582,0.01135,SAW,0.25,0.07436
0.355,0.0063604,0.011727,SAW,0.25,0.07436
0.356,0.0062273,0.011682,SAW,0.25,0.07436
0.357,0.0042446,0.0080933,SAW,0.25,0.07436
0.358,0.0045975,0.0089022,SAW,0.25,0.07436
0.359,0.0043657,0.0086132,SAW,0.25,0.07436
0.36,0.0061315,0.012271,SAW,0.25,0.07436
0.361,0.0047563,0.0096762,SAW,0.25,0.07436
0.362,0.0051987,0.010743,SAW,0.25,0.07436
0.363,0.0056443,0.011846,SAW,0.25,0.07436
0.364,0.0055981,0.011945,SAW,0.25,0.07436
0.365,0.0051305,0.011126,SAW,0.25,0.07436
0.366,0.0068264,0.015023,SAW,0.25,0.07436
0.367,0.0061074,0.013654,SAW,0.25,0.07436
0.368,0.0057219,0.012987,SAW,0.25,0.07436
0.369,0.0054987,0.012678,SAW,0.25,0.07436
0.37,0.0062664,0.014662,SAW,0.25,0.07436
0.371,0.0049576,0.011787,SAW,0.25,0.07436
0.372,0.0051727,0.012455,SAW,0.25,0.07436
0.373,0.0051232,0.012532,SAW,0.25,0.07436
0.374,0.0039677,0.0098667,SAW,0.25,0.07436
0.375,0.0035648,0.0089917,SAW,0.25,0.07436
0.376,0.0050984,0.013028,SAW,0.25,0.07436
0.377,0.0051651,0.013406,SAW,0.25,0.07436
0.378,0.006678,0.017579,SAW,0.25,0.07436
0.379,0.0050774,0.013548,SAW,0.25,0.07436
0.38,0.0046379,0.012567,SAW,0.25,0.07436
0.381,0.0052775,0.014489,SAW,0.25,0.07436
0.382,0.003888,0.010828,SAW,0.25,0.07436
0.383,0.0026705,0.0075434,SAW,0.25,0.07436
0.384,0.0029125,0.0083448,SAW,0.25,0.07436
0.385,0.0043538,0.012639,SAW,0.25,0.07436
0.386,0.003362,0.0098969,SAW,0.25,0.07436
0.387,0.0037625,0.011216,SAW,0.25,0.07436
0.388,0.0037334,0.011284,SAW,0.25,0.07436
0.389,0.0041484,0.012721,SAW,0.25,0.07436
0.39,0.0050777,0.015769,SAW,0.25,0.07436
0.391,0.0055616,0.017513,SAW,0.25,0.07436
0.392,0.0048873,0.015579,SAW,0.25,0.07436
0.393,0.0026045,0.0083982,SAW,0.25,0.07436
0.394,0.0028131,0.0092248,SAW,0.25,0.07436
0.395,0.0047617,0.015796,SAW,0.25,0.07436
0.396,0.0047757,0.016033,SAW,0.25,0.07436
0.397,0.0019408,0.0066067,SAW,0.25,0.07436
0.398,0.0052825,0.018215,SAW,0.25,0.07436
0.399,0.006329,0.022099,SAW,0.25,0.07436
0.4,0.0062162,0.021983,SAW,0.25,0.07436
0.401,0.006049,0.021657,SAW,0.25,0.07436
0.402,0.0062866,0.022787,SAW,0.25,0.07436
0.403,0.0058955,0.021633,SAW,0.25,0.07436
0.404,0.0062101,0.023072,SAW,0.25,0.07436
0.405,0.0056674,0.021328,SAW,0.25,0.07436
0.406,0.0055714,0.02121,SAW,0.25,0.07436
0.407,0.0053473,0.020608,SAW,0.25,0.07436
0.408,0.0057108,0.022277,SAW,0.25,0.07436
0.409,0.0062088,0.024514,SAW,0.25,0.07436
0.41,0.0051653,0.020624,SAW,0.25,0.07436
0.411,0.0060006,0.02426,SAW,0.25,0.07436
0.412,0.0061916,0.025323,SAW,0.25,0.07436
0.413,0.0056869,0.023532,SAW,0.25,0.07436
0.414,0.0055777,0.023355,SAW,0.25,0.07436
0.415,0.0058537,0.024802,SAW,0.25,0.07436
0.416,0.005831,0.024996,SAW,0.25,0.07436
0.417,0.0055003,0.023839,SAW,0.25,0.07436
0.418,0.0053909,0.023642,SAW,0.25,0.07436
0.419,0.005416,0.024023,SAW,0.25,0.07436
0.42,0.0045377,0.020355,SAW,0.25,0.07436
0.421,0.0056453,0.02561,SAW,0.25,0.07436
0.422,0.0053458,0.02453,SAW,0.25,0.07436
0.423,0.0044838,0.020808,SAW,0.25,0.07436
0.424,0.0048215,0.022616,SAW,0.25,0.07436
0.425,0.0049579,0.023513,SAW,0.25,0.07436
0.426,0.0047343,0.022705,SAW,0.25,0.07436
0.427,0.0045019,0.021816,SAW,0.25,0.07436
0.428,0.0044933,0.022023,SAW,0.25,0.07436
0.429,0.004063,0.020127,SAW,0.25,0.07436
0.43,0.0032284,0.016158,SAW,0.25,0.07436
0.431,0.0028491,0.014423,SAW,0.25,0.07436
0.432,0.0050801,0.025987,SAW,0.25,0.07436
0.433,0.0044775,0.023163,SAW,0.25,0.07436
0.434,0.0042346,0.022117,SAW,0.25,0.07436
0.435,0.0045167,0.023843,SAW,0.25,0.07436
0.436,0.0049839,0.026593,SAW,0.25,0.07436
0.437,0.0049676,0.026778,SAW,0.25,0.07436
0.438,0.004445,0.02421,SAW,0.25,0.07436
0.439,0.0042022,0.023135,SAW,0.25,0.07436
0.44,0.0046794,0.026021,SAW,0.25,0.07436
0.441,0.0046401,0.026075,SAW,0.25,0.07436
0.442,0.0048141,0.027323,SAW,0.25,0.07436
0.443,0.0048307,0.027685,SAW,0.25,0.07436
0.444,0.0047252,0.027358,SAW,0.25,0.07436
0.445,0.0049534,0.028966,SAW,0.25,0.07436
0.446,0.0043551,0.025726,SAW,0.25,0.07436
0.447,0.0049057,0.029268,SAW,0.25,0.07436
0.448,0.004944,0.029783,SAW,0.25,0.07436
0.449,0.0049421,0.03007,SAW,0.25,0.07436
0.45,0.0049869,0.030646,SAW,0.25,0.07436
0.451,0.005347,0.033172,SAW,0.25,0.07436
0.452,0.0049255,0.030857,SAW,0.25,0.07436
0.453,0.0045033,0.028483,SAW,0.25,0.07436
0.454,0.0047929,0.030613,SAW,0.25,0.07436
0.455,0.0047654,0.03073,SAW,0.25,0.07436
0.456,0.0048408,0.031515,SAW,0.25,0.07436
0.457,0.004842,0.031817,SAW,0.25,0.07436
0.458,0.0046641,0.030931,SAW,0.25,0.07436
0.459,0.0046723,0.031283,SAW,0.25,0.07436
0.46,0.0045623,0.030832,SAW,0.25,0.07436
0.461,0.0046911,0.031999,SAW,0.25,0.07436
0.462,0.0045614,0.031404,SAW,0.25,0.07436
0.463,0.0045194,0.031402,SAW,0.25,0.07436
0.464,0.004519,0.031692,SAW,0.25,0.07436
0.465,0.004403,0.03116,SAW,0.25,0.07436
0.466,0.0044924,0.032084,SAW,0.25,0.07436
0.467,0.0043168,0.031109,SAW,0.25,0.07436
0.468,0.0045209,0.032871,SAW,0.25,0.07436
0.469,0.0044157,0.032399,SAW,0.25,0.07436
0.47,0.0043364,0.032095,SAW,0.25,0.07436
0.471,0.0042971,0.032095,SAW,0.25,0.07436
0.472,0.004322,0.032567,SAW,0.25,0.07436
0.473,0.0042539,0.032334,SAW,0.25,0.07436
0.474,0.0042208,0.03237,SAW,0.25,0.07436
0.475,0.0043511,0.033662,SAW,0.25,0.07436
0.476,0.0042135,0.03288,SAW,0.25,0.07436
0.477,0.0041452,0.03263,SAW,0.25,0.07436
0.478,0.0043092,0.034211,SAW,0.25,0.07436
0.479,0.0040371,0.032328,SAW,0.25,0.07436
0.48,0.0040911,0.033041,SAW,0.25,0.07436
0.481,0.004015,0.032703,SAW,0.25,0.07436
0.482,0.0040778,0.033497,SAW,0.25,0.07436
0.483,0.0040121,0.033236,SAW,0.25,0.07436
0.484,0.0038509,0.032169,SAW,0.25,0.07436
0.485,0.0038314,0.032277,SAW,0.25,0.07436
0.486,0.00309,0.026242,SAW,0.25,0.07436
0.487,0.0034522,0.029571,SAW,0.25,0.07436
0.488,0.0036994,0.031952,SAW,0.25,0.07436
0.489,0.0034312,0.029876,SAW,0.25,0.07436
0.49,0.0038586,0.033876,SAW,0.25,0.07436
0.491,0.0035623,0.031529,SAW,0.25,0.07436
0.492,0.003401,0.030348,SAW,0.25,0.07436
0.493,0.0036581,0.032911,SAW,0.25,0.07436
0.494,0.0034896,0.031649,SAW,0.25,0.07436
