# Wavelength (µm)	RSR
0.3000	0.000000
0.3127	0.000000
0.3254	0.000000
0.3381	0.000000
0.3509	0.000000
0.3636	0.000000
0.3763	0.000000
0.3890	0.000000
0.4017	0.000000
0.4144	0.000000
0.4271	0.000000
0.4398	0.000000
0.4526	0.000000
0.4653	0.000000
0.4780	0.000000
0.4907	0.000000
0.5034	0.000000
0.5161	0.000000
0.5288	0.000000
0.5415	0.000000
0.5543	0.000000
0.5670	0.000000
0.5797	0.000000
0.5924	0.000000
0.6051	0.000000
0.6178	0.000000
0.6305	0.000000
0.6432	0.000000
0.6560	0.000000
0.6687	0.000000
0.6814	0.000000
0.6941	0.000000
0.7068	0.000000
0.7195	0.000000
0.7322	0.000000
0.7449	0.000000
0.7577	0.000000
0.7704	0.000000
0.7831	0.000000
0.7958	0.000000
0.8085	0.000000
0.8212	0.000000
0.8339	0.000000
0.8466	0.000000
0.8594	0.000000
0.8721	0.000000
0.8848	0.000000
0.8975	0.000000
0.9102	0.000000
0.9229	0.000000
0.9356	0.000000
0.9483	0.000000
0.9611	0.000000
0.9738	0.000000
0.9865	0.000000
0.9992	0.000000
1.0119	0.000000
1.0246	0.000000
1.0373	0.000000
1.0501	0.000000
1.0628	0.000000
1.0755	0.000000
1.0882	0.000000
1.1009	0.000000
1.1136	0.000000
1.1263	0.000000
1.1390	0.000000
1.1518	0.000000
1.1645	0.000000
1.1772	0.000000
1.1899	0.000000
1.2026	0.000000
1.2153	0.000000
1.2280	0.000000
1.2407	0.000000
1.2535	0.000000
1.2662	0.000000
1.2789	0.000000
1.2916	0.000000
1.3043	0.000000
1.3170	0.000000
1.3297	0.000000
1.3424	0.000000
1.3552	0.000000
1.3679	0.000000
1.3806	0.000000
1.3933	0.000000
1.4060	0.000000
1.4187	0.000000
1.4314	0.000000
1.4441	0.000000
1.4569	0.000000
1.4696	0.000000
1.4823	0.000000
1.4950	0.000000
1.5077	0.000000
1.5204	0.000000
1.5331	0.000000
1.5458	0.000000
1.5586	0.000000
1.5713	0.000000
1.5840	0.000000
1.5967	0.000000
1.6094	0.000000
1.6221	0.000000
1.6348	0.000000
1.6475	0.000000
1.6603	0.000000
1.6730	0.000000
1.6857	0.000000
1.6984	0.000000
1.7111	0.000000
1.7238	0.000000
1.7365	0.000000
1.7492	0.000000
1.7620	0.000000
1.7747	0.000000
1.7874	0.000000
1.8001	0.000000
1.8128	0.000000
1.8255	0.000000
1.8382	0.000000
1.8510	0.000000
1.8637	0.000000
1.8764	0.000000
1.8891	0.000000
1.9018	0.000000
1.9145	0.000000
1.9272	0.000000
1.9399	0.000000
1.9527	0.000000
1.9654	0.000000
1.9781	0.000000
1.9908	0.000000
2.0035	0.000000
2.0162	0.000000
2.0289	0.000000
2.0416	0.000000
2.0544	0.000000
2.0671	0.000000
2.0798	0.000000
2.0925	0.000000
2.1052	0.000000
2.1179	0.000000
2.1306	0.000000
2.1433	0.000000
2.1561	0.000000
2.1688	0.000000
2.1815	0.000000
2.1942	0.000000
2.2069	0.000000
2.2196	0.000000
2.2323	0.000000
2.2450	0.000000
2.2578	0.000000
2.2705	0.000000
2.2832	0.000000
2.2959	0.000000
2.3086	0.000000
2.3213	0.000000
2.3340	0.000000
2.3467	0.000000
2.3595	0.000000
2.3722	0.000000
2.3849	0.000000
2.3976	0.000000
2.4103	0.000000
2.4230	0.000000
2.4357	0.000000
2.4484	0.000000
2.4612	0.000000
2.4739	0.000000
2.4866	0.000000
2.4993	0.000000
2.5120	0.000000
2.5247	0.000000
2.5374	0.000000
2.5502	0.000000
2.5629	0.000000
2.5756	0.000000
2.5883	0.000000
2.6010	0.000000
2.6137	0.000000
2.6264	0.000000
2.6391	0.000000
2.6519	0.000000
2.6646	0.000000
2.6773	0.000000
2.6900	0.000000
2.7027	0.000000
2.7154	0.000000
2.7281	0.000000
2.7408	0.000000
2.7536	0.000000
2.7663	0.000000
2.7790	0.000000
2.7917	0.000000
2.8044	0.000000
2.8171	0.000000
2.8298	0.000000
2.8425	0.000000
2.8553	0.000000
2.8680	0.000000
2.8807	0.000000
2.8934	0.000000
2.9061	0.000000
2.9188	0.000000
2.9315	0.000000
2.9442	0.000000
2.9570	0.000000
2.9697	0.000000
2.9824	0.000000
2.9951	0.000000
3.0078	0.000000
3.0205	0.000000
3.0332	0.000000
