PROFILE,WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,WATER
TRP,0.35,0.0060223,0.0098918,0.2
TRP,0.35,0.0060223,0.0098918,0.5
TRP,0.35,0.0060223,0.0098918,1.0
TRP,0.35,0.0060223,0.0098918,1.5
TRP,0.35,0.0060223,0.0098918,2.0
TRP,0.351,0.0058835,0.0098226,0.2
TRP,0.351,0.0058835,0.0098226,0.5
TRP,0.351,0.0058835,0.0098226,1.0
TRP,0.351,0.0058835,0.0098226,1.5
TRP,0.351,0.0058835,0.0098226,2.0
TRP,0.352,0.0060599,0.010298,0.2
TRP,0.352,0.0060599,0.010298,0.5
TRP,0.352,0.0060599,0.010298,1.0
TRP,0.352,0.0060599,0.010298,1.5
TRP,0.352,0.0060599,0.010298,2.0
TRP,0.353,0.0056192,0.0097241,0.2
TRP,0.353,0.0056192,0.0097241,0.5
TRP,0.353,0.0056192,0.0097241,1.0
TRP,0.353,0.0056192,0.0097241,1.5
TRP,0.353,0.0056192,0.0097241,2.0
TRP,0.354,0.006366,0.011199,0.2
TRP,0.354,0.006366,0.011199,0.5
TRP,0.354,0.006366,0.011199,1.0
TRP,0.354,0.006366,0.011199,1.5
TRP,0.354,0.006366,0.011199,2.0
TRP,0.355,0.0064708,0.011574,0.2
TRP,0.355,0.0064708,0.011574,0.5
TRP,0.355,0.0064708,0.011574,1.0
TRP,0.355,0.0064708,0.011574,1.5
TRP,0.355,0.0064708,0.011574,2.0
TRP,0.356,0.006336,0.011533,0.2
TRP,0.356,0.006336,0.011533,0.5
TRP,0.356,0.006336,0.011533,1.0
TRP,0.356,0.006336,0.011533,1.5
TRP,0.356,0.006336,0.011533,2.0
TRP,0.357,0.0043189,0.0079916,0.2
TRP,0.357,0.0043189,0.0079916,0.5
TRP,0.357,0.0043189,0.0079916,1.0
TRP,0.357,0.0043189,0.0079916,1.5
TRP,0.357,0.0043189,0.0079916,2.0
TRP,0.358,0.0046779,0.0087915,0.2
TRP,0.358,0.0046779,0.0087915,0.5
TRP,0.358,0.0046779,0.0087915,1.0
TRP,0.358,0.0046779,0.0087915,1.5
TRP,0.358,0.0046779,0.0087915,2.0
TRP,0.359,0.0044422,0.0085078,0.2
TRP,0.359,0.0044422,0.0085078,0.5
TRP,0.359,0.0044422,0.0085078,1.0
TRP,0.359,0.0044422,0.0085078,1.5
TRP,0.359,0.0044422,0.0085078,2.0
TRP,0.36,0.0062393,0.012123,0.2
TRP,0.36,0.0062393,0.012123,0.5
TRP,0.36,0.0062393,0.012123,1.0
TRP,0.36,0.0062393,0.012123,1.5
TRP,0.36,0.0062393,0.012123,2.0
TRP,0.361,0.0048393,0.0095595,0.2
TRP,0.361,0.0048393,0.0095595,0.5
TRP,0.361,0.0048393,0.0095595,1.0
TRP,0.361,0.0048393,0.0095595,1.5
TRP,0.361,0.0048393,0.0095595,2.0
TRP,0.362,0.0052893,0.010614,0.2
TRP,0.362,0.0052893,0.010614,0.5
TRP,0.362,0.0052893,0.010614,1.0
TRP,0.362,0.0052893,0.010614,1.5
TRP,0.362,0.0052893,0.010614,2.0
TRP,0.363,0.0057422,0.011705,0.2
TRP,0.363,0.0057422,0.011705,0.5
TRP,0.363,0.0057422,0.011705,1.0
TRP,0.363,0.0057422,0.011705,1.5
TRP,0.363,0.0057422,0.011705,2.0
TRP,0.364,0.0056952,0.011805,0.2
TRP,0.364,0.0056952,0.011805,0.5
TRP,0.364,0.0056952,0.011805,1.0
TRP,0.364,0.0056952,0.011805,1.5
TRP,0.364,0.0056952,0.011805,2.0
TRP,0.365,0.005219,0.010996,0.2
TRP,0.365,0.005219,0.010996,0.5
TRP,0.365,0.005219,0.010996,1.0
TRP,0.365,0.005219,0.010996,1.5
TRP,0.365,0.005219,0.010996,2.0
TRP,0.366,0.006944,0.014848,0.2
TRP,0.366,0.006944,0.014848,0.5
TRP,0.366,0.006944,0.014848,1.0
TRP,0.366,0.006944,0.014848,1.5
TRP,0.366,0.006944,0.014848,2.0
TRP,0.367,0.0062127,0.013498,0.2
TRP,0.367,0.0062127,0.013498,0.5
TRP,0.367,0.0062127,0.013498,1.0
TRP,0.367,0.0062127,0.013498,1.5
TRP,0.367,0.0062127,0.013498,2.0
TRP,0.368,0.0058204,0.01284,0.2
TRP,0.368,0.0058204,0.01284,0.5
TRP,0.368,0.0058204,0.01284,1.0
TRP,0.368,0.0058204,0.01284,1.5
TRP,0.368,0.0058204,0.01284,2.0
TRP,0.369,0.0055935,0.012536,0.2
TRP,0.369,0.0055935,0.012536,0.5
TRP,0.369,0.0055935,0.012536,1.0
TRP,0.369,0.0055935,0.012536,1.5
TRP,0.369,0.0055935,0.012536,2.0
TRP,0.37,0.0063744,0.0145,0.2
TRP,0.37,0.0063744,0.0145,0.5
TRP,0.37,0.0063744,0.0145,1.0
TRP,0.37,0.0063744,0.0145,1.5
TRP,0.37,0.0063744,0.0145,2.0
TRP,0.371,0.0050431,0.011658,0.2
TRP,0.371,0.0050431,0.011658,0.5
TRP,0.371,0.0050431,0.011658,1.0
TRP,0.371,0.0050431,0.011658,1.5
TRP,0.371,0.0050431,0.011658,2.0
TRP,0.372,0.0052613,0.012319,0.2
TRP,0.372,0.0052613,0.012319,0.5
TRP,0.372,0.0052613,0.012319,1.0
TRP,0.372,0.0052613,0.012319,1.5
TRP,0.372,0.0052613,0.012319,2.0
TRP,0.373,0.0052113,0.012398,0.2
TRP,0.373,0.0052113,0.012398,0.5
TRP,0.373,0.0052113,0.012398,1.0
TRP,0.373,0.0052113,0.012398,1.5
TRP,0.373,0.0052113,0.012398,2.0
