WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,PROFILE,INITIAL_H2O,FINAL_H2O
0.35,0.0060223,0.0098918,TRP,0.25,0.63509
0.351,0.0058835,0.0098226,TRP,0.25,0.63509
0.352,0.0060599,0.010298,TRP,0.25,0.63509
0.353,0.0056192,0.0097241,TRP,0.25,0.63509
0.354,0.006366,0.011199,TRP,0.25,0.63509
0.355,0.0064708,0.011574,TRP,0.25,0.63509
0.356,0.006336,0.011533,TRP,0.25,0.63509
0.357,0.0043189,0.0079916,TRP,0.25,0.63509
0.358,0.0046779,0.0087915,TRP,0.25,0.63509
0.359,0.0044422,0.0085078,TRP,0.25,0.63509
0.36,0.0062393,0.012123,TRP,0.25,0.63509
0.361,0.0048393,0.0095595,TRP,0.25,0.63509
0.362,0.0052893,0.010614,TRP,0.25,0.63509
0.363,0.0057422,0.011705,TRP,0.25,0.63509
0.364,0.0056952,0.011805,TRP,0.25,0.63509
0.365,0.005219,0.010996,TRP,0.25,0.63509
0.366,0.006944,0.014848,TRP,0.25,0.63509
0.367,0.0062127,0.013498,TRP,0.25,0.63509
0.368,0.0058204,0.01284,TRP,0.25,0.63509
0.369,0.0055935,0.012536,TRP,0.25,0.63509
0.37,0.0063744,0.0145,TRP,0.25,0.63509
0.371,0.0050431,0.011658,TRP,0.25,0.63509
0.372,0.0052613,0.012319,TRP,0.25,0.63509
0.373,0.0052113,0.012398,TRP,0.25,0.63509
0.374,0.004036,0.0097623,TRP,0.25,0.63509
0.375,0.003626,0.0088972,TRP,0.25,0.63509
0.376,0.0051853,0.012891,TRP,0.25,0.63509
0.377,0.0052536,0.013267,TRP,0.25,0.63509
0.378,0.0067929,0.017401,TRP,0.25,0.63509
0.379,0.0051643,0.013411,TRP,0.25,0.63509
0.38,0.0047169,0.012441,TRP,0.25,0.63509
0.381,0.0053675,0.014345,TRP,0.25,0.63509
0.382,0.0039545,0.010722,TRP,0.25,0.63509
0.383,0.0027162,0.0074706,TRP,0.25,0.63509
0.384,0.002962,0.0082647,TRP,0.25,0.63509
0.385,0.0044277,0.012518,TRP,0.25,0.63509
0.386,0.0034192,0.0098041,TRP,0.25,0.63509
0.387,0.0038265,0.011112,TRP,0.25,0.63509
0.388,0.0037967,0.01118,TRP,0.25,0.63509
0.389,0.0042186,0.012605,TRP,0.25,0.63509
0.39,0.0051635,0.015626,TRP,0.25,0.63509
0.391,0.0056556,0.017356,TRP,0.25,0.63509
0.392,0.0049695,0.015441,TRP,0.25,0.63509
0.393,0.0026485,0.0083248,TRP,0.25,0.63509
0.394,0.0028607,0.0091457,TRP,0.25,0.63509
0.395,0.0048418,0.01566,TRP,0.25,0.63509
0.396,0.0048559,0.015896,TRP,0.25,0.63509
0.397,0.0019735,0.0065517,TRP,0.25,0.63509
0.398,0.0053706,0.018062,TRP,0.25,0.63509
0.399,0.0064351,0.021917,TRP,0.25,0.63509
0.4,0.0063196,0.021802,TRP,0.25,0.63509
0.401,0.0061496,0.02148,TRP,0.25,0.63509
0.402,0.0063916,0.022605,TRP,0.25,0.63509
0.403,0.0059942,0.021463,TRP,0.25,0.63509
0.404,0.0063134,0.022891,TRP,0.25,0.63509
0.405,0.0057611,0.021161,TRP,0.25,0.63509
0.406,0.005664,0.021049,TRP,0.25,0.63509
0.407,0.0054366,0.020454,TRP,0.25,0.63509
0.408,0.005805,0.022108,TRP,0.25,0.63509
0.409,0.0063111,0.02433,TRP,0.25,0.63509
0.41,0.0052503,0.020471,TRP,0.25,0.63509
0.411,0.0060994,0.024083,TRP,0.25,0.63509
0.412,0.0062939,0.025142,TRP,0.25,0.63509
0.413,0.0057797,0.023362,TRP,0.25,0.63509
0.414,0.0056689,0.023188,TRP,0.25,0.63509
0.415,0.0059497,0.024629,TRP,0.25,0.63509
0.416,0.0059273,0.024827,TRP,0.25,0.63509
0.417,0.0055907,0.023678,TRP,0.25,0.63509
0.418,0.0054791,0.023483,TRP,0.25,0.63509
0.419,0.0055043,0.023863,TRP,0.25,0.63509
0.42,0.0046113,0.02022,TRP,0.25,0.63509
0.421,0.0057368,0.025442,TRP,0.25,0.63509
0.422,0.0054322,0.02437,TRP,0.25,0.63509
0.423,0.0045564,0.020675,TRP,0.25,0.63509
0.424,0.004899,0.022471,TRP,0.25,0.63509
0.425,0.0050378,0.023365,TRP,0.25,0.63509
0.426,0.0048116,0.022569,TRP,0.25,0.63509
0.427,0.0045747,0.021684,TRP,0.25,0.63509
0.428,0.0045653,0.021889,TRP,0.25,0.63509
0.429,0.0041285,0.020008,TRP,0.25,0.63509
0.43,0.0032803,0.016063,TRP,0.25,0.63509
0.431,0.0028944,0.014338,TRP,0.25,0.63509
0.432,0.0051618,0.02584,TRP,0.25,0.63509
0.433,0.0045492,0.023033,TRP,0.25,0.63509
0.434,0.0043022,0.021993,TRP,0.25,0.63509
0.435,0.0045877,0.023706,TRP,0.25,0.63509
0.436,0.0050627,0.026446,TRP,0.25,0.63509
0.437,0.0050469,0.026636,TRP,0.25,0.63509
0.438,0.0045164,0.024086,TRP,0.25,0.63509
