WAVLEN_MCRN,TOTAL_RAD,ALBEDO,WVP_COL,GRND_RFLT
0.35,0.0060047,0,0.2,
0.351,0.0058662,0,0.2,
0.352,0.0060398,0,0.2,
0.353,0.0056031,0,0.2,
0.354,0.0063486,0,0.2,
0.355,0.0064531,0,0.2,
0.356,0.0063188,0,0.2,
0.357,0.0043067,0,0.2,
0.358,0.0046651,0,0.2,
0.359,0.0044303,0,0.2,
0.36,0.0062224,0,0.2,
0.361,0.0048263,0,0.2,
0.362,0.0052754,0,0.2,
0.363,0.0057273,0,0.2,
0.364,0.0056806,0,0.2,
0.365,0.0052054,0,0.2,
0.366,0.0069265,0,0.2,
0.367,0.0061971,0,0.2,
0.368,0.0058059,0,0.2,
0.369,0.0055796,0,0.2,
0.37,0.0063587,0,0.2,
0.371,0.0050307,0,0.2,
0.372,0.0052483,0,0.2,
0.373,0.0051986,0,0.2,
0.374,0.0040263,0,0.2,
0.375,0.0036173,0,0.2,
0.376,0.0051728,0,0.2,
0.377,0.0052412,0,0.2,
0.378,0.006777,0,0.2,
0.379,0.0051523,0,0.2,
0.38,0.0047058,0,0.2,
0.381,0.0053551,0,0.2,
0.382,0.0039454,0,0.2,
0.383,0.00271,0,0.2,
0.384,0.0029553,0,0.2,
0.385,0.0044178,0,0.2,
0.386,0.0034117,0,0.2,
0.387,0.0038181,0,0.2,
0.388,0.0037884,0,0.2,
0.389,0.0042095,0,0.2,
0.39,0.0051525,0,0.2,
0.391,0.0056435,0,0.2,
0.392,0.004959,0,0.2,
0.393,0.002643,0,0.2,
0.394,0.0028549,0,0.2,
0.395,0.0048319,0,0.2,
0.396,0.0048461,0,0.2,
0.397,0.0019696,0,0.2,
0.398,0.0053599,0,0.2,
0.399,0.0064225,0,0.2,
0.4,0.0063073,0,0.2,
0.401,0.0061378,0,0.2,
0.402,0.0063796,0,0.2,
0.403,0.0059831,0,0.2,
0.404,0.0063018,0,0.2,
0.405,0.0057506,0,0.2,
0.406,0.0056539,0,0.2,
0.407,0.0054272,0,0.2,
0.408,0.0057947,0,0.2,
0.409,0.0063,0,0.2,
0.41,0.0052412,0,0.2,
0.411,0.0060891,0,0.2,
0.412,0.0062835,0,0.2,
0.413,0.00577,0,0.2,
0.414,0.0056596,0,0.2,
0.415,0.0059402,0,0.2,
0.416,0.0059182,0,0.2,
0.417,0.0055822,0,0.2,
0.418,0.0054708,0,0.2,
0.419,0.0054961,0,0.2,
0.42,0.0046045,0,0.2,
0.421,0.0057284,0,0.2,
0.422,0.0054244,0,0.2,
0.423,0.0045499,0,0.2,
0.424,0.0048919,0,0.2,
0.425,0.0050306,0,0.2,
0.426,0.004805,0,0.2,
0.427,0.0045685,0,0.2,
0.428,0.0045592,0,0.2,
0.429,0.0041233,0,0.2,
0.43,0.0032762,0,0.2,
0.431,0.0028907,0,0.2,
0.432,0.0051555,0,0.2,
0.433,0.0045437,0,0.2,
0.434,0.0042961,0,0.2,
0.435,0.0045821,0,0.2,
0.436,0.0050567,0,0.2,
0.437,0.0050414,0,0.2,
0.438,0.0045116,0,0.2,
0.439,0.0042633,0,0.2,
0.44,0.0047467,0,0.2,
0.441,0.0047097,0,0.2,
0.442,0.0048866,0,0.2,
0.443,0.0049019,0,0.2,
0.444,0.0047953,0,0.2,
0.445,0.0050252,0,0.2,
0.446,0.0044187,0,0.2,
0.447,0.0049788,0,0.2,
0.448,0.0050162,0,0.2,
0.449,0.0050145,0,0.2,
0.45,0.0050617,0,0.2,
0.451,0.0054266,0,0.2,
0.452,0.0050007,0,0.2,
0.453,0.0045702,0,0.2,
0.454,0.0048645,0,0.2,
0.455,0.0048368,0,0.2,
0.456,0.0049134,0,0.2,
0.457,0.0049153,0,0.2,
0.458,0.0047343,0,0.2,
0.459,0.0047428,0,0.2,
0.46,0.0046319,0,0.2,
0.461,0.0047625,0,0.2,
0.462,0.0046312,0,0.2,
0.463,0.0045887,0,0.2,
0.464,0.0045869,0,0.2,
0.465,0.0044687,0,0.2,
0.466,0.0045613,0,0.2,
0.467,0.0043827,0,0.2,
0.468,0.0045895,0,0.2,
0.469,0.0044832,0,0.2,
0.47,0.0044027,0,0.2,
0.471,0.0043631,0,0.2,
0.472,0.0043883,0,0.2,
0.473,0.004319,0,0.2,
0.474,0.0042854,0,0.2,
0.475,0.0044174,0,0.2,
0.476,0.0042791,0,0.2,
0.477,0.0042108,0,0.2,
0.478,0.0043781,0,0.2,
0.479,0.0041018,0,0.2,
0.48,0.0041585,0,0.2,
0.481,0.0040811,0,0.2,
0.482,0.0041451,0,0.2,
0.483,0.0040787,0,0.2,
0.484,0.0039146,0,0.2,
0.485,0.0038938,0,0.2,
0.486,0.00314,0,0.2,
0.487,0.0035081,0,0.2,
0.488,0.0037594,0,0.2,
0.489,0.0034861,0,0.2,
0.49,0.0039214,0,0.2,
0.491,0.0036212,0,0.2,
0.492,0.0034574,0,0.2,
0.493,0.0037185,0,0.2,
0.494,0.003547,0,0.2,
0.495,0.0037704,0,0.2,
0.496,0.0036285,0,0.2,
0.497,0.0035018,0,0.2,
0.498,0.0033843,0,0.2,
0.499,0.0033528,0,0.2,
0.5,0.0033138,0,0.2,
0.501,0.0032093,0,0.2,
0.502,0.0031722,0,0.2,
0.503,0.0033158,0,0.2,
0.504,0.0030406,0,0.2,
0.505,0.003273,0,0.2,
0.506,0.0034798,0,0.2,
0.507,0.003212,0,0.2,
0.508,0.0030715,0,0.2,
0.509,0.0032637,0,0.2,
0.51,0.0031497,0,0.2,
0.511,0.003145,0,0.2,
0.512,0.0032438,0,0.2,
0.513,0.0029587,0,0.2,
0.514,0.0028982,0,0.2,
0.515,0.0029293,0,0.2,
0.516,0.0030334,0,0.2,
0.517,0.0022313,0,0.2,
0.518,0.0027278,0,0.2,
0.519,0.0025786,0,0.2,
